;Dimension 3: Open Data Quality;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
;3.1 Currency and completeness;;;;;
Q1;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

For Explanation:
* If yes, please briefly describe your approach.";yes;Frequency of datasets and it`s metadata updates defined by Ukrainian legislation approximately for each type of data set. The portal automatically checks if the metadata is updated in time (according to the chosed frequency), if the datasets and it`s metadata isn`t updated in-time, the portal sends to the data provider a reminder to update the dataset and all neseccery metadata. The non-updated datasets is marked by the portal automatically.;Confirm;;
Q2;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

For Explanation:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to";new question;new question;Change;50-69%;If sets are harvested from local portals, metadata is loaded automatically. At the same time, many regional datasets, in particular from Russian-occupied territories, are currently unavailable due to security measures. At the same time, if the data is made public on sectoral portals, such as spending.gov.ua, data providers do not duplicate such datasets on the Open Data portal.
Q3;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

For Explanation:
* Please explain the approach for updating metadata in a timely manner";new question;new question;Change;Within one day;Currently, harvesting from the source, in particular from local portals, is carried out daily on weekdays. Based on the results of the future modernization of the portal, it is planned to make harvesting from local portals automatic.
Q4;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example,the complete time series?

For Explanation:
* If yes, please explain the measures in place to ensure complete series of datasets";new question;new question;Change;Yes;"The Unified State Web Portal of Open Data ensures the preservation of previous versions of published resources. These versions can be found on the dataset webpage. Example: https://data.gov.ua/dataset/2a746426-b289-4eb2-be8f-aac03e68948c/resource/e43a82da-89e1-4bbb-820c-bd04ab7a0c89  
Versioning of datasets as a functional possibility of the portal is defined in Decree № 867. In addition, Decree № 835 defines the fundamental principle of publication of datasets - openness by default, which consists in ensuring the release of all public information by data providers in the form of Open Data, which is in their possession, except for information that is classified by law as information with limited access, as well as information that is not subject to publication in accordance with the Law of Ukraine ""On Access to Public Information"".
Also, the Ministry of Digital Transformation provides a guidance and support for ensuring the data we receive is of an acceptable quality. The ministerial team has developed recommendations for the publication and updating of datasets by data providers: https://data.gov.ua/pages/835-rec-index.
Moreover, during the moderation of the dataset by an authorized person of the Ministry as the holder of the portal, the description of the set, the number of keywords, and the correct selection of the name of the set are checked. In addition, in case of inconsistency in the quality of the already published version of the dataset, the authorized person of the Ministry can reject the already published version and send it for revision.
Thus, the dataset undergoes repeated moderation, the possibility of which is determined in Decree № 867.
In addition, the ministerial team constantly provides advisory support to information providers, conducts trainings to ensure that all versions of datasets are of appropriate quality.
Moreover, information providers independently choose the frequency of updating the datasets. When choosing the frequency of updating datasets, information providers shall ensure the maximum possible frequency of their updating and maintenance in an up-to-date state on the Unified State Web Portal of Open Data. The information provider receives a push notification to his email from the portal about the need to update a certain dataset."
Q5;"Have you implemented the DCAT-AP High Value Datasets (semiceu.github.io) tag to denote the High-Value Datasets in your (national) Open Data portal(s)?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;
Q6;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;"Ukraine is starting the development of linked data, forming a regulatory and technical infrastructure. From July 1, 2020, the ISA2 basic dictionaries in the field of e-government entered into force (Order of SE ""UkrNDNC"" No. 124 dated 05/14/2019). They will help unify the data of state registers and ensure their publication in RDF format. The single government Open Data web portal and most local portals support the DCAT metadata publishing standard. The Ministry provided recommendations for the publication of datasets from the List, approved by Decree № 835, in linked data formats. The recommendations are based on popular basic dictionaries Core Public Organization Vocabulary, The Organization Ontology, FOAF, Schema, SKOS.
https://data.gov.ua/en/pages/835-rec-standards-reusage 
The Decree № 835 revised the definition of high-value data sets, and also indicated which areas are priorities during the implementation of the policy in the field of Open Data. The publication of datasets in the fields of justice, judiciary, health care, ecology and environmental protection, transport and infrastructure, finance and taxes is a priority area of "
;3.2 Monitoring and measures;;;;;
Q7;"Do you monitor the quality of the metadata available on your portal?

For Explanation:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism.";yes;"There are some check-ups and monitoring instruments for dataset and it`s metadata quality: 
1. Before publishing the dataset moderator of the National portal checks correctness of metadata.
2. When dataset creating manually by dataprovider, or via API, National portal require all metadata fields to be fill in.
3. Also, National portal has BI tool for monitoring metadata https://data.gov.ua/pages/analityka";Confirm;;
Q8;"Do you publish information on the quality of the metadata available on the portal?

For Explanation:
* If yes, please provide the URL to this section. ";yes;"BI tool for metadata quality monitoring is public https://data.gov.ua/pages/analityka

Also, Ministry of  Digital transformation of Ukraine preparing annual survey on dataset and it`s metadata quality the last version is available via link https://data.gov.ua/uploads/files/2021-10-11-151345.820104--2020.pdf (Due to the russian invasion, the assessment of the publication and updating of Open Data on the national portal was last carried out in November 2021. The link to the report is attached above)";Complement;Yes;"BI tool for metadata quality monitoring is public https://data.gov.ua/pages/analityka Also, Ministry of Digital transformation of Ukraine preparing annual survey on datasets and its metadata quality for 2020 https://data.gov.ua/uploads/files/2021-10-11-151345.820104--2020.pdf. 
Reports on publicizing and updating datasets and its metadata quality for 2021 and 2022: https://diia.data.gov.ua/news/yakii-z-derzorganiv-je-liderom-za-vidkritisyu-danix-doslidzennya-mincifri-1. A similar report for 2023 is currently being prepared."
Q9;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

For Explanation:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools.";new question;new question;Change;Yes;"The Regulation on datasets subject to publication in the form of Open Data, approved by the Decree № 835, defines the requirements for the format and structure of datasets subject to publication in the form of Open Data, the frequency of updating and the procedure for their publication, as well as the list of such datasets. 
In addition, The Ministry of Digital Transformation of Ukraine has developed recommendations for data providers to publish high-quality datasets from the section of the Decree № 835 ""All data providers"" and ""Local Self-Government Bodies"". These recommendations are published on the National Portal.
https://data.gov.ua/pages/835-rec-index#mun.
These recommendations will also eventually become part of the new version of the Decree № 835 as a requirements for the publication of datasets.
In addition, after the data provider has created a dataset before it became publicly available, such a dataset is  reviewed by a moderator - an authorized person of the Ministry as the holder of the Open Data portal. If there are deficiencies in such dataset, the moderator provides recommendations to the data provider and returns the dataset for revision."
Q10;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

For Explanation:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe ";new question;new question;Change;Yes;"To improve the quality of published data sets, the Ministry of Digital Transformation has developed recommendations for the publication and updating of data sets by data providers: https://data.gov.ua/pages/835-rec-index. Also, during the moderation of the data set by an authorized person of the Ministry as the holder of the portal, the description of the set, the number of keywords, and the correct selection of the name of the set are checked. At the same time, the name can be chosen from the drop-down list, as well as the responsible person of the data provider is entered automatically, etc. Also, when filling in metadata, it is mandatory to fill in all the proposed fields of the dataset passport.
In general, most datasets on the national portal fully correspond to both mandatory and recommended classes of DCAT-AP."
Q11;"Do your Open Data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences, specifically CC BY 4.0 and CC0?

For Explanation:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* Please provide a URL link to the guidelines";new question;new question;Change;Yes;"Licencing terms of Open Data defined in the Law of Ukraine ""On Access to Public Information"". These terms are similar to CC-By and this is mandatory.
All content is available on the portal under the Creative Commons Attribution 4.0 International license.
Also licensing terms (similar to CC-By) are set forth in the above mentioned law and thus are obligatory."
Q12;What percentage of the Open Data available on the national portal is accompanied by licensing information? ;>90%;N/A;Confirm;;N/A
Q13;How many different licences are used on your portal?;1-4;N/A;Confirm;;N/A
Q14;"Besides providing guidelines, are there regular activities conducted or mechanisms in place to  assist publishers in supplying high-quality datasets (metadata quality and data quality)?

For Explanation:
* If yes, please explain the support you provide?";new question;new question;Change;Yes;"Ministry of Digital Transformation, National Agency of Ukraine for Civil Service Affairs launched the course the certified advanced training program, which is titled, ""Open Data for Civil Servants: A Practical Course."" The program aims to increase the competency of officials from public authorities and local governments who are responsible for the publication of public information in the form of Open Data and covers 18 different topics. https://pdp.nacs.gov.ua/courses/vidkryti-dani-dlia-derzhsluzhbovtsiv-praktychnyi-kurs
Also as a measure to develop professional skills of civil servants working with data is the online course Open Data for Civil Servants that was created on the national platform of the digital education - https://osvita.diia.gov.ua/courses/open-data. This was the first Open Data course certified by the National Agency of Ukraine for Civil Service Affairs. The course was launached on September 2020. Since then more than 67,000 goverment officials completed the course. The ""Open Data Advocacy"" series was also developed https://osvita.diia.gov.ua/courses/open-data-advocation.
Also Ministry of Digital Transformation has launched a curriculum - ""Intensive on Open Data for data providers - central executive bodies and local self-government bodies"". The purpose of the intensives is to improve the quality of datasets of central executive bodies and local self-government bodies. To this end, the participants of the Intensive together with the experts: diagnose their own Open Data policy; analyze its strengths and weaknesses; draw up an action plan to help effectively publicize datasets and begin implementing it. These trainings are carried out monthly (separated for central executive bodies and local self-government bodies) and last for 2 weeks including both intramural and asynchronous forms of work. Moreover, from the end of 2023, the Open Data Academy is implemented. This is an initiative aimed at training regional civil servants on Open Data. So far, such trainings have been carried out for such employees of Chernivtsi, Lviv, Zakarpattia, Vinnytsia, and Rivne regions. By the end of 2025, it is planned to cover all regions of Ukraine. https://academy.data.gov.ua/. 
Moreover, the Ministry continuously advises data providers on the creation and updating of their datasets."
;3.3 DCAT-AP Compliance;;;;;
Q15;"Does the national portal follow the DCAT-AP framework or, if not, are standards in place to ensure interoperability with DCAT-AP?

For explanation:
* If the  portal follow the DCAT-AP framework, please describe how compliance with DCAT-AP is ensured
* If the portal does not follow the DCAT-AP framework, please describe how interoperability with DCAT-AP is ensured";new question;new question;Change;Yes;"There is no clear answear for this question. Mandatory and recommended (optional) class of Open Data metada is prescribed by the Law. But Ukrainian legislation has no direct link to DCAT-AP standard.
In general, most datasets on the national portal fully correspond to both mandatory and recommended classes of DCAT-AP. Some problems arise with datasets that are harvested to the national portal from regional and/or local Open Data portals. First of all, this is related to the internal legal framework of data providers at the regional and local and level.
Moreover, during the moderation of the dataset by an authorized person of the Ministry as the holder of the portal, the description of the dataset, the number of keywords, and the correct selection of the name of the set are checked. At the same time, the name can be chosen from the drop-down list, as well as the responsible person of the data provider is entered automatically, etc. Also, when filling in metadata, it is mandatory to fill in all the proposed fields of the dataset passport.
Thus, an authorized person of the Ministry verifies compliance with the metadata requirements defined in the DCAT-AP framework. In general, most datasets on the national portal fully correspond to both mandatory and recommended classes of DCAT-AP.
The portal supports work with the DCAT dictionary (https://www.w3.org/TR/vocab-dcat/) and DCAT-AP, as a standard solution on the CKAN architecture and as extensions. In particular, metadata of datasets and resources are distributed using the API procedure. The portal uses typical CKAN procedures for working with API.
Transmitted through the portal's API metadata can be translated to DCAT and DCAT-AP using a typical dictionary that uses the ckanext-dcat extension (https://github.com/ckan/ckanext-dcat?tab=readme-ov-file#schemas).
The DCAT and DCAT-AP models are also supported at the level of harvesting datasets from other open data portals based on the CKAN architecture or another architecture. In this case, RDF is used. The Ministry has developed instructions for setting up the harvesting procedure, including using the DCAT and DCAT-AP models. (https://data.gov.ua/uploads/files/2021-06-29-135404.275118-.pdf).
The portal uses the common extension ckanext-dcat (https://extensions.ckan.org/extension/dcat/) which adds the following functionality for using DCAT and DCAT-AP (https://data.gov.ua/api/3/action/status_show):
- dcat - Adds DCAT (Data Catalog Vocabulary) support to CKAN. This extension allows you to describe datasets according to the DCAT-AP standard, which provides better interoperability with other data catalogs.
- dcat_rdf_harvester - This extension is used to collect RDF data (Resource Description Framework) from other portals that support DCAT and import it into CKAN.
- dcat_json_harvester - An extension for collecting and importing DCAT-compliant JSON data from other sources into CKAN.
- dcat_json_interface - An interface for working with data in JSON format that conforms to the DCAT standard. This extension allows you to interact with DCAT data by saving it in JSON format."
Q16;What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes? (agent, catalogue, dataset, literal, resource);>90%;;Confirm;;N/A
Q17;What is the percentage of metadata on your portal that uses DCAT-AP recommended classes? (category, category scheme, distribution, licence document);>90%;;Confirm;;N/A
Q18;What is the percentage of metadata on your portal that uses DCAT-AP optional classes? (catalogue record, checksum, document, frequency);>90%;;Confirm;;N/A
Q19;"Is there a national extension of the DCAT-AP standard developed for your country? 

For Explanation:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension.";no ;There is no clear answear for this question. Mandatory and recommended (optional) class of Open Data metada prescribed by the Law. But Ukrainian legislation have no direct link to DCAT-AP standard;Confirm;;
Q20;"Do you investigate the most common causes for the lack of DCAT-AP compliance?

For Explanation:
* If yes, what are the main causes for the lack of DCAT-AP compliance?";new question;new question;Change;Yes;"Functional capabilities of the portal provide moderation of datasets for further publication or their rejection with reasons. Moderation is a check by an authorized person of the portal holder of datasets uploaded to the portal for compliance with the requirements defined in Decree № 835. Metadata requirements are defined in this Decree, which is consistent with the requirements defined in DCAT-AP. During the stage of dataset moderation, the following causes are detected: incomplete or incorrect filling of metadata, namely: title, description, publisher, publication date, language attributes, identifiers, keywords and contact information.
At the same time, datasets are published on the portal already with the finalized shortcomings discovered during moderation.
DCAT-AP mismatch may occur if a dataset has been automatically uploaded to the national portal from local portals. "
Q21;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?;>90%;N/A;Confirm;;N/A
Q22;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?;>90%;N/A;Confirm;;N/A
;3.4 Deployment quality and linked data;;;;;
Q23;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

For Explanation:
* If yes, please briefly describe.";yes;"The Decree of the Cabinet of Ministers of Ukraine no 835 envisages publication of Open Data in formats of the 5-Star Open Data Model. At the portal implemented the openness rating of data sets according to the 5-Star Open Data Model for example https://data.gov.ua/dataset/1c7f3815-3259-45e0-bdf1-64dca07ddc10 
Moderation policy at the portal promotes usage of open machine-readable formats.";Confirm;;
Q24;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data?

For Explanation:
* If yes, please briefly describe.";yes;"Intensive on Open Data for data providers - central executive bodies and local self-government bodies. The purpose of the Intensives is to improve the quality of datasets of central executive bodies and local self-government bodies. To this end, the participants of the Intensive together with the experts:
diagnose their own Open Data policy;
analyze its strengths and weaknesses;
draw up an action plan to help effectively publicize datasets and begin implementing it.
Also, Ministry of Digital Transformation in partnership with the National Agency of Ukraine for Civil Service Affairs have prepared a practical training program containing all necessary components for effective disclosure of Open Data by data providers. The main goal of this program is to provide civil servants and local government officials with the necessary theoretical knowledge and practical skills for the effective publication of datasets. It covers 18 topics and helps to understand how Open Data policy is implemented at the national level and within a particular data provider, what components the Open Data policy includes and what impact it has on everyday life. ";Complement;Yes;"Intensive on Open Data for data providers - central executive bodies and local self-government bodies. The purpose of the Intensives is to improve the quality of datasets of central executive bodies and local self-government bodies. To this end, the participants of the Intensive together with the experts: diagnose their own Open Data policy; analyze its strengths and weaknesses; draw up an action plan to help effectively publicize datasets and begin implementing it. Also, Ministry of Digital Transformation in partnership with the National Agency of Ukraine for Civil Service Affairs have prepared a practical training program containing all necessary components for effective publication of Open Data by data providers. The main goal of this program is to provide civil servants and local government officials with the necessary theoretical knowledge and practical skills for the effective publication of datasets. It covers 18 topics and helps to understand how Open Data policy is implemented at the national level and within a particular data provider, what components the Open Data policy includes and what impact it has on everyday life.
Moreover, from the end of 2023, the Open Data Academy is implemented. This is an initiative aimed at training regional civil servants on Open Data. So far, such trainings have been carried out for such employees of Chernivtsi, Lviv, Zakarpattia, Vinnytsia, and Rivne regions. By the end of 2025, it is planned to cover all regions of Ukraine. https://academy.data.gov.ua/. "
Q25;What percentage of datasets are made available under an open licence? ;>90%;N/A;Confirm;;N/A
Q26;What percentage of licences are provided in a structured data format?;51-70%;N/A;Confirm;;N/A
Q27;What percentage of datasets are provided in an open and machine-readable format?;>90%;N/A;Confirm;;N/A
Q28;What percentage of datasets consistely use Uniform Resource Identifiers?;71-90%;N/A;Confirm;;N/A
Q29;What percentage of datasets link to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?;51-70%;N/A;Confirm;;N/A
