;Dimension 3: Open Data Quality;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
;3.1 Currency and completeness;;;;;
Q1;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

For Explanation:
* If yes, please briefly describe your approach.";yes;Automated harvesting of various portals and sites;Confirm;;
Q2;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

For Explanation:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to";new question;new question;Change;100%;See https://github.com/fedict/dcattools, metadata from a series of portals is harvested via command line tools, enhanched via SPARQL queries and SKOS data, combined and pushed to github to be collected by the EDP
Q3;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

For Explanation:
* Please explain the approach for updating metadata in a timely manner";new question;new question;Change;Within one week;Weekly downloads (though sometimes it takes longer due to errors in metadata provided by data sources)
Q4;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example,the complete time series?

For Explanation:
* If yes, please explain the measures in place to ensure complete series of datasets";new question;new question;Change;No;"It is up to the data source to ensure this (or not), but for example Walloon Region keeps time series (eg land cover, land use, ortho images), Brussels Region has ""Urbis orthophotos"" images (yearly, dating back from 2014), Flanders Region has a series of orthophotos as well.
That's all we can do, since we don't own the data"
Q5;"Have you implemented the DCAT-AP High Value Datasets (semiceu.github.io) tag to denote the High-Value Datasets in your (national) open data portal(s)?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"It's not a ""tag"", the HvD RDF properties are collected during the harvesting (but not yet visible on the portal itself), and  passed on to the EU Dataportal.
On geo-portals like MetaWal there is a mapping between INSPIRE data and DCAT-AP-HVD"
Q6;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"Actually the Belgian Statistics Office asked the EC if we could just point to Eurostat (which already provides an API and data harmonization for all Member States) to comply with HvD regulation for statistics, but apparently the Member States have to build a separate API ?
For geodata, OGC APIs are being used (challenge: mapping of INSPIRE Metadata to GeoDCAT-AP, since GeoDCAT is less ""rich"")"
;3.2 Monitoring and measures;;;;;
Q7;"Do you monitor the quality of the metadata available on your portal?

For Explanation:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism.";yes;SHACL validator (https://github.com/Fedict/shaclvalidator) using a mix of the DCAT-AP and the Belgian profile ;Complement;;SHACL validator (https://github.com/Fedict/shaclvalidator) using a mix of the DCAT-AP and the Belgian profile . Similar on regional portals
Q8;"Do you publish information on the quality of the metadata available on the portal?

For Explanation:
* If yes, please provide the URL to this section. ";yes;Not on the portal itself, but as part on the github repository: ;Confirm;;
Q9;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

For Explanation:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools.";new question;new question;Change;Yes;Lightweight validator tool https://github.com/Fedict/shaclvalidator
Q10;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

For Explanation:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe ";new question;new question;Change;Yes;Explicit language tags on literals, and preferably also use org.belgif IDs for legal organisations
Q11;"Do your open data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences, specifically CC BY 4.0 and CC0?

For Explanation:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* Please provide a URL link to the guidelines";new question;new question;Change;Yes;CC0 and CC-BY are preferred licenses by law (other licenses can be used, but it should be explained why the CC-licenses are not used)
Q12;What percentage of the open data available on the national portal is accompanied by licensing information? ;71-90%;;Confirm;;N/A
Q13;How many different licences are used on your portal?;>10;;Confirm;;N/A
Q14;"Besides providing guidelines, are there regular activities conducted or mechanisms in place to  assist publishers in supplying high-quality datasets (metadata quality and data quality)?

For Explanation:
* If yes, please explain the support you provide?";new question;new question;Change;Yes;Regular review of metadata-mappings (eg https://github.com/Fedict/dcattools/issues/121) from data sources using other metadata formats (INSPIRE, CKAN…), 1-to-1 meetings with publishers to improve the metadata at the source level
;3.3 DCAT-AP Compliance;;;;;
Q15;"Does the national portal follow the DCAT-AP framework or, if not, are standards in place to ensure interoperability with DCAT-AP?

For explanation:
* If the  portal follow the DCAT-AP framework, please describe how compliance with DCAT-AP is ensured
* If the portal does not follow the DCAT-AP framework, please describe how interoperability with DCAT-AP is ensured";new question;new question;Change;Yes;By design he frontend is totally unaware / independent of any metadata framework, but the backend has been specifically designed around DCAT-AP (since 2014)
Q16;What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes? (agent, catalogue, dataset, literal, resource);>90%;;Confirm;;N/A
Q17;What is the percentage of metadata on your portal that uses DCAT-AP recommended classes? (category, category scheme, distribution, licence document);71-90%;;Confirm;;N/A
Q18;What is the percentage of metadata on your portal that uses DCAT-AP optional classes? (catalogue record, checksum, document, frequency);<10%;;Change;10-30%;frequency
Q19;"Is there a national extension of the DCAT-AP standard developed for your country? 

For Explanation:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension.";yes;"Response to reviewer: See https://github.com/belgif/inspire-dcat, 1) it was created to make mappings of INSPIRE metadata of geo portals to DCAT easier, 2) ""formal"" mapping from INSPIRE XML to metadata, language tags are mandatory on all literals";Confirm;;
Q20;"Do you investigate the most common causes for the lack of DCAT-AP compliance?

For Explanation:
* If yes, what are the main causes for the lack of DCAT-AP compliance?";new question;new question;Change;Yes;Use of site-specific themes / vocabularies instead of the ones of the Publication Office (can be mapped with tools)
Q21;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?;71-90%;;Confirm;;N/A
Q22;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?;>90%;;Confirm;;N/A
;3.4 Deployment quality and linked data;;;;;
Q23;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

For Explanation:
* If yes, please briefly describe.";yes;Response to reviewer: data.gov.be does not use a model;Complement;Yes;While the national portal does not have a specific model, some other portals do (e.g FAIR for health data and research data, see e.g. https://www.uantwerpen.be/en/library/research/open-access/open-data-workshop/, and 5-star on the Flemish regional portal)
Q24;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data?

For Explanation:
* If yes, please briefly describe.";yes;"Training on data modelling in general (not limited to open data): https://github.com/belgif/review/tree/master/Training, and thematic working group on semantic exhange of data https://github.com/belgif/thematic
Similar initiatives at regiona level , eg during Meemoo bootcamp on (linked) open cultural data: https://meemoo.be/nl/vormingen-en-events/bootcamp-open-culturele-data-2023-6e-editie";Complement;;Regular review of metadata-mappings (eg https://github.com/Fedict/dcattools/issues/121) from data sources using other metadata formats (INSPIRE, CKAN…), 1-to-1 meetings with publishers to improve the metadata at the source level
Q25;What percentage of datasets are made available under an open licence? ;>90%;;Confirm;;N/A
Q26;What percentage of licences are provided in a structured data format?;>90%;;Confirm;;N/A
Q27;What percentage of datasets are provided in an open and machine-readable format?;71-90%;;Confirm;;N/A
Q28;What percentage of datasets consistely use Uniform Resource Identifiers?;<10%;;Confirm;;N/A
Q29;What percentage of datasets link to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?;<10%;;Confirm;;N/A
