;Dimension 3: Open Data Quality;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
;3.1 Currency and completeness;;;;;
Q1;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

For Explanation:
* If yes, please briefly describe your approach.";yes;Part of the new poral ifrastructure is automated check of quality of data. This will be fully implementedy with new portal launch by the end of 2023.  SPARQL Endpoint enables data stewards to track quality of metadata by predefined or custom queries (https://opendata.mirri.tech/)* *updated;Complement;Yes;Portal has automated check of quality of metadata. Reports are made every 24 hours. Reports can be downloaded here: https://github.com/datova-kancelaria/nkod-dokumentacia/blob/main/pouz%CC%8Ci%CC%81vatel%CC%8Cska%CC%81%20pri%CC%81ruc%CC%8Cka.md#soubory-s-csv-reporty-v%C3%BDsledk%C5%AF-m%C4%9B%C5%99en%C3%AD-kvality-a-dostupnosti
Q2;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

For Explanation:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to";new question;new question;Change;<30%;aprox 18%.  Metadata are harvested from registered local catalogs: https://data.slovensko.sk/lokalne-katalogy. Publisher can register local catalog when logged in with eID. We support 3 types of local catalogs - SPARQL, CKAN, DCAT-AP Dokumenty. Harvesting is done every night with LinkedPipes technology (same as czech portal) - data are stored in RDF database. All metadata are harvested which are compatible with DCAT-AP-SK 2.
Q3;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

For Explanation:
* Please explain the approach for updating metadata in a timely manner";new question;new question;Change;Within one day;Metadata are harvested every day. 
Q4;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example,the complete time series?

For Explanation:
* If yes, please explain the measures in place to ensure complete series of datasets";new question;new question;Change;Yes;We implemented dcat:temporal and data series type of dataset in our DCAT-AP. This helps providers and us to analyze metadata more efficiently and spot if some data seems to be missing. We also promote local catalogs with automated processing from providers information systems, this ensures no data is missing.
Q5;"Have you implemented the DCAT-AP High Value Datasets (semiceu.github.io) tag to denote the High-Value Datasets in your (national) open data portal(s)?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;yes, https://htmlpreview.github.io/?https://github.com/slovak-egov/centralny-model-udajov/blob/develop/tbox/national/dcat-ap-sk/index.html#d%C3%A1tov%C3%A1-slu%C5%BEba-pr%C3%ADstupov%C3%BD-bod
Q6;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;We implemented a new standard DCAT_AP_SK which includes standard DCAT_HVD
;3.2 Monitoring and measures;;;;;
Q7;"Do you monitor the quality of the metadata available on your portal?

For Explanation:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism.";yes;Monitoring is automated and launched daily.  Acces is possible via SPARQL endpoint (in future with dashboard) with predefined queries.https://opendata.mirri.tech/;Change;Yes;There are detailed reports available (see Q1), there is also Metadata quality page which lists some of the most important reports data.slovensko.sk/kvalita-metadat
Q8;"Do you publish information on the quality of the metadata available on the portal?

For Explanation:
* If yes, please provide the URL to this section. ";yes;"Yes, via SPARQL endpoint (DCAT-AP-SK definds quality). https://opendata.mirri.tech/ Annual report is carried out on publishing datasets and quality of datasets and metadata on national open data portal. Reports are constantly improving, this year we dive deeper into metadata quality. The latest report is published here:
https://www.minv.sk/?ros_vsetky-spravy&sprava=analyza-zverejnenych-datasetov-ustrednych-organov-statnej-spravy-za-rok-2022-dostupna-na-pripomienkovanie";Change;Yes;Metadata quality page data.slovensko.sk/kvalita-metadat
Q9;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

For Explanation:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools.";new question;new question;Change;Yes;1) Information on data quality are available on methodology portal: https://wiki.vicepremier.gov.sk/pages/viewpage.action?pageId=77338628 2) Methodology for data quality reporting: https://wiki.vicepremier.gov.sk/pages/viewpage.action?pageId=101838501 
Q10;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

For Explanation:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe ";new question;new question;Change;Yes;Some of the metadata are required, see DCAT-AP-SK 2.0.1 (Q19) When uploading datasets on portal directly, some of the metadata are prefilled.
Q11;"Do your open data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences, specifically CC BY 4.0 and CC0?

For Explanation:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* Please provide a URL link to the guidelines";new question;new question;Change;Yes;yes, using CC BY and CC0 is highly recommended: https://wiki.vicepremier.gov.sk/pages/viewpage.action?pageId=101822628 When meeting with providers, we recommend using CC BY or CC0 or provider should have compelling justification for choosing another licence (see Q24, 3)
Q12;What percentage of the open data available on the national portal is accompanied by licensing information? ;>90%;N/A;Confirm;>90%;0,902
Q13;How many different licences are used on your portal?;5-10;N/A;Confirm;5-10;6 licences
Q14;"Besides providing guidelines, are there regular activities conducted or mechanisms in place to  assist publishers in supplying high-quality datasets (metadata quality and data quality)?

For Explanation:
* If yes, please explain the support you provide?";new question;new question;Change;Yes;"We organized training and working groups and we provide a methology portal with information regarding HVD.
https://wiki.vicepremier.gov.sk/display/opendata/7.+HVD+-+Datasety+s+vysokou+hodnotou
https://wiki.vicepremier.gov.sk/pages/viewpage.action?pageId=155322398
https://wiki.vicepremier.gov.sk/pages/viewpage.action?pageId=155320440
"
;3.3 DCAT-AP Compliance;;;;;
Q15;"Does the national portal follow the DCAT-AP framework or, if not, are standards in place to ensure interoperability with DCAT-AP?

For explanation:
* If the  portal follow the DCAT-AP framework, please describe how compliance with DCAT-AP is ensured
* If the portal does not follow the DCAT-AP framework, please describe how interoperability with DCAT-AP is ensured";new question;new question;Change;Yes;yes, national portal follows DCAT-AP, we use our national extension DCAT-AP-SK 2.0.1. which is regularly updated (there is 3.0 version in final development)
Q16;What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes? (agent, catalogue, dataset, literal, resource);>90%;;Confirm;;N/A
Q17;What is the percentage of metadata on your portal that uses DCAT-AP recommended classes? (category, category scheme, distribution, licence document);>90%;;Confirm;;N/A
Q18;What is the percentage of metadata on your portal that uses DCAT-AP optional classes? (catalogue record, checksum, document, frequency);>90%;;Confirm;;N/A
Q19;"Is there a national extension of the DCAT-AP standard developed for your country? 

For Explanation:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension.";yes;https://datova-kancelaria.github.io/dcat-ap-sk-2.0/ Response to reviewer: The main difference is more detailed metadata for licences (the Slovakian version of DCAT is very similar to the Czech).;Confirm;;
Q20;"Do you investigate the most common causes for the lack of DCAT-AP compliance?

For Explanation:
* If yes, what are the main causes for the lack of DCAT-AP compliance?";new question;new question;Change;Yes;Yes, most common lack of compliance is caused by lack of training for public officers or lack of time to dive deeper into data quality issues.
Q21;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?;>90%;N/A;Confirm;;N/A
Q22;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?;>90%;N/A;Confirm;;N/A
;3.4 Deployment quality and linked data;;;;;
Q23;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

For Explanation:
* If yes, please briefly describe.";yes;"Decree of the Office of the Deputy Prime Minister of the SR for Investment and Informatization on standards for public administration information technologies defines 5 level quality of datasets: 
 https://www.slov-lex.sk/pravne-predpisy/SK/ZZ/2020/78/20200501""";Confirm;;
Q24;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data?

For Explanation:
* If yes, please briefly describe.";yes;We realize a methological activities to increase a quality of published data – we publish methology at the portal https://wiki.vicepremier.gov.sk/pages/viewpage.action?pageId=77338628 and we organize working groups and made online presentation from the working groups which is published here https://www.youtube.com/channel/UCF-rmyKJ9pE49CP8-rUi4mQ ;Complement;Yes;Working groups and trainings, recordings are publicly available: https://www.youtube.com/channel/UCF-rmyKJ9pE49CP8-rUi4mQ 3) Regular meetings with providers on open data quality with reports published: https://wiki.vicepremier.gov.sk/pages/viewpage.action?pageId=101838399
Q25;What percentage of datasets are made available under an open licence? ;>90%;N/A;Confirm;;N/A
Q26;What percentage of licences are provided in a structured data format?;>90%;N/A;Confirm;;N/A
Q27;What percentage of datasets are provided in an open and machine-readable format?;71-90%;N/A;Confirm;;N/A
Q28;What percentage of datasets consistely use Uniform Resource Identifiers?;<10%;N/A;Confirm;;N/A
Q29;What percentage of datasets link to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?;>90%;N/A;Confirm;;N/A
