;Dimension 1: Open Data Policy;;;;;;;;;;;;;;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;;;;;;;;;;;;;;
;1.1 Policy framework;;;;;;;;;;;;;;;;;;;;;;;;
P1;"Is there a national Open Data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references Open Data.";yes;"The policy of Open Data in Ukraine includes the following basic documents that regulate Open Data sphere:
Law of Ukraine ""On Information"" https://zakon.rada.gov.ua/laws/show/2657-12#Text 
The law defines the basic principles of access to information, and establishes the categorization of information that is in the possession of state bodies                                                                                                                                                                                       The Law of Ukraine ""On Access to Public Information"" https://zakon.rada.gov.ua/laws/show/2939-17#Text  which contains a separate article on Open Data, and establishes the general principles of access to public information.
Resolution of the Cabinet of Ministers of Ukraine dated October 21, 2015 No. 835 ""On approval of the regulation on data sets that are subject to publication in the form of Open Data"" https://zakon.rada.gov.ua/laws/show/835-2015-%D0%BF#Text 
The regulation defines the procedure for publishing  Open Data, requirements for its metadata, and a list of sets of data that must be published in the form of Open Data.
In addition, the provision contains implemented principles of the International Open Data Charter                                                                                                                                                                                                                                    Resolution of the Cabinet of Ministers of Ukraine dated November 30, 2016 No. 867 ""Some issues of public information disclosure in the form of Open Data"" https://zakon.rada.gov.ua/laws/show/867-2016-%D0%BF#Text The regulation contains basic information about the functioning of the national Open Data portal, and the obligations of data providers in working with portal
Decree of the Cabinet of Ministers of Ukraine dated September 22, 2016 No. 686-r ""Some issues of joining the International Open Data Charter"" https://zakon.rada.gov.ua/laws/show/686-2016-%D1%80#Text Decree establishes Ukraine's accession to the International Open Data Charter and imposes an obligation on data providers to use the principles of the charter during the process of publishing datasets
The implementation of Directive 2019/1024/EU regarding Open Data was carried out in 2021 with the adoption of Resolution No. 407 of the Cabinet of Ministers of Ukraine dated March 3, 2021 ""On Amendments to Resolutions No. 835 and No. 30 of the Cabinet of Ministers of Ukraine dated October 21, 2015 November 2016 No. 867""";Confirm;;;;;;;;;;;;;;;;;;;;;
P2;"Is there a national Open Data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"In January 2022, Ukraine developed a strategy for the development of Open Data until 2025. Link to strategy https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf 
However, due to the large-scale military invasion of Russia on February 24, 2022, the Strategy wasn`t approved at the level of the Cabinet of Ministers of Ukraine, its official approval was postponed until Ukraine's victory in the war.
At the same time, the main provisions of the draft strategy for the development of Open Data in Ukraine were reflected in other strategic documents of the Government, including those adopted in response to Russia's armed aggression.
Among them: Plan for the recovery of Ukraine https://recovery.gov.ua/en/project 
The Government's priority action plan for 2023 https://zakon.rada.gov.ua/laws/show/221-2023-%D1%80#Text https://zakon.rada.gov.ua/laws/file/text/104/f524487n15.docx 
National strategy for promoting the development of civil society in Ukraine for 2021-2026 https://zakon.rada.gov.ua/laws/show/487/2021#Text 
Anti-corruption strategy for 2021-2025 https://zakon.rada.gov.ua/laws/show/2322-20#Text 
State strategy of regional development for 2021-2027 https://zakon.rada.gov.ua/laws/show/695-2020-%D0%BF#Text                    All of the strategies and action plans listed above contain separate sections on Open Data.
First of all, they concern the intensification of the publication of Open Data, the use of machine-readable formats and the support of transparency and accountability of authorities, which is necessary for the development of civil society. In addition, all strategies in one way or another encourage the reuse of Open Data by both the public and private sectors";Complement;Yes;"In January 2022, Ukraine developed a strategy for the development of Open Data until 2025. Link to strategy https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf. However, due to the large-scale military invasion of Russia on February 24, 2022, the Strategy wasn`t approved at the level of the Cabinet of Ministers of Ukraine, its official approval was postponed until Ukraine's victory in the war. At the same time, the main provisions of the draft strategy for the development of Open Data in Ukraine were reflected in other strategic documents of the Government, including those adopted in response to Russia's armed aggression. Among them: Plan for the recovery of Ukraine https://recovery.gov.ua/en/project The Government's priority action plan for 2023 https://zakon.rada.gov.ua/laws/show/221-2023-%D1%80#Text  https://zakon.rada.gov.ua/laws/file/text/104/f524487n15.docx National strategy for promoting the development of civil society in Ukraine for 2021-2026 https://zakon.rada.gov.ua/laws/show/487/2021#Text Anti-corruption strategy for 2021-2025 https://zakon.rada.gov.ua/laws/show/2322-20#Text State strategy of regional development for 2021-2027 https://zakon.rada.gov.ua/laws/show/695-2020-%D0%BF#Text. All of the strategies and action plans listed above contain separate sections on Open Data. First of all, they concern the intensification of the publication of Open Data, the use of machine-readable formats and the support of transparency and accountability of authorities, which is necessary for the development of civil society. In addition, all strategies in one way or another encourage the reuse of Open Data by both the public and private sectors.
In addition, a draft Strategy for the Development of the Open Data Sphere of Ukraine for 2025–2027 has already been developed, which defines the main directions of the formation and implementation of the state development policy in the field of Open Data of Ukraine for 2025–2027, outlines a strategic vision for the development of the sector based on ensuring national interests and fulfillment of Ukraine's international obligations. The Ministerial Open Data Team is working on the adoption of the draft. https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf";;;;;;;;;;;;;;;;;;;
P3;"Is there an Open Data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"Lviv https://www8.city-adm.lviv.ua/Pool/Info/doclmr_1.NSF/(SearchForWeb)/7676F23B77FA4D95C22581790030B9C7?OpenDocument                                                                                                                                                                            
Vinnytsya http://www.vmr.gov.ua/Docs/MajorOrdersR/2017/%E2%84%96181-%D1%80%2018-10-2017%20%D0%9F%D1%80%D0%BE%20%D0%B7%D0%B0%D1%85%D0%BE%D0%B4%D0%B8.pdf 
Ternopil https://ternopilcity.gov.ua/normative-documents/vidkriti-dani/28627.html                                                                                                                                                                                                                                                                                                                                                           
The key points of such strategy are                                                                                                                                                                           Development, adoption, improvement of the internal regulatory framework, such as provisions on Open Data, job descriptions, procedures and maintenance and publication of registers, etc.
Information audit of data sets, creation of the register of data sets of the data provider.
Improving the skills of employees in the publication and use of data in training, courses, programs.
Establishment of a structural subdivision (department, sector) or position in the field of Open Data.
Modernization of information systems for data export in open machine-readable formats CSV, JSON, XML, creation of open APIs (application programming interfaces) for publishing sets.
Establishment and strengthening of information exchange between structural subdivisions and with other authorities.
Development of electronic services, analytical dashboards, chatbots and other products based on Open Data.
Consulting and establishing partnerships with business and the public to open new sets, improve data quality.
Introduction of own Open Data portal.
Promotion of Open Data: holding hackathons, competitions for projects based on Open Data.";Complement;Yes;"At the regional level, local self-government bodies adopt action plans for the implementation of the Open Data policy - regional strategies for the development of the Open Data Sphere. In particular, the adoption of such action plans may be connected with the joining of such cities to the International Open Data Charter. And accordingly, such regional strategies recognize the principles of the International Open Data Charter at the regulatory level.
Lviv https://www8.city-adm.lviv.ua/Pool/Info/doclmr_1.NSF/(SearchForWeb)/7676F23B77FA4D95C22581790030B9C7?OpenDocument  
Vinnytsya https://www.vmr.gov.ua/media/OpenData/Laws/%E2%84%96181-%D1%80%2018-10-2017%20%D0%9F%D1%80%D0%BE%20%D0%B7%D0%B0%D1%85%D0%BE%D0%B4%D0%B8.pdf (The link has been updated, but it may not open in other countries due to security measures). 
Ternopil https://ternopilcity.gov.ua/normative-documents/vidkriti-dani/28627.html  
Kropyvnytsiy http://www.kr-rada.gov.ua/uploads/documents/21804-rozp_154_27-12-2018.pdf 
Zaporizhzhia https://zp.gov.ua/upload/content/o_1ejueqnfg1oj1g7eq3i18kmtfmdb.pdf  
Zhmerynka https://zhmerinka-adm.gov.ua/media/files/dAGR2sbih32derFhS2QHi58as.doc 
Haisyn https://haisyn-municipality.gov.ua/documents/139634-pro-organizaciiu-roboti-shhodo-realizaciyi-politiki-vidkritix-danix-gaisinskoyi-miskoyi-radi  
Dubno https://dubno-adm.gov.ua/fileadmin/user_upload/Arhiv/Dokumenti_Proekti_dokumentiv/PR_vuk_11_20_06_19.doc 
Chervonohrad https://www.chg.gov.ua/get_blog_files.php?id=12678&name=d0a759a74d7bb2f759879d90996aec1f 
Sambir https://sambircity.gov.ua/2024/04/26/pro-priyednannya-do-mizhnarodno%D1%97-xarti%D1%97-vidkritix-danix/  
Ulanivka https://rada.info/upload/users_files/04331834/f3782e0f175e2233991b3db6aad82633.docx  
Boryslav https://boryslavrada.gov.ua/post/documents/rozporiadzhennia-miskoho-holovy-pro-realizatsiiu-polityky-vidkrytykh-danykh-u-boryslavskii-miskii-radi  
In addition, as part of Open Government Week, all locsl governments of Lviv Oblast submitted an application to join the International Open Data Charter https://loda.gov.ua/news/105967. Accordingly, at their internal organizational level, all 71 local governments of Lviv Region approved action plans recognizing the principles of the International Open Data Charter. https://drive.google.com/drive/folders/135Qaexpu2dDUvn8o9zo34dOw2MYwZjsb  
The key points of such strategies are development, adoption, improvement of the internal regulatory framework, such as instruments on Open Data, job descriptions, procedures and maintenance and publication of registers, etc.:
Information audit of public information, creation of the register of datasets by the data provider. Improving the skills of employees in the publication and use of Open Data within trainings, courses, programs. 
Establishment of a structural subdivision (department, sector) or position in the field of Open Data. 
Modernization of information systems for data export in open machine-readable formats CSV, JSON, XML, creation of open APIs (application programming interfaces) for publishing datasets. 
Establishment and strengthening of information exchange between structural subdivisions and with other authorities. 
Development of electronic services, analytical dashboards, chatbots and other products based on Open Data. 
Consulting and establishing partnerships with business and the public to open new sets, improve data quality. 
Introduction of own Open Data portal. 
Promotion of Open Data: holding hackathons, competitions for projects based on Open Data etc.";;;;;;;;;;;;;;;;;;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the Open Data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"Action plan for implementation of Open Data strategy is available via link https://data.gov.ua/uploads/files/2022-06-15-120043.7877993140222-1.pdf The key-points of action plan are: 1. Disclosure in the form of Open Data of all available public information (implementation of the principles ""open by default"" and ""open by design"") 2. Increasing the level of reuse of public information in the form of Open Data 3. Compliance of the datasets published on the National Portal with the principles International Open Data Charter";Complement;Yes;"Action plan for implementation of Open Data strategy is available via link https://data.gov.ua/uploads/files/2022-06-15-120043.7877993140222-1.pdf
The key-points of action plan are: 1. Disclosure in the form of Open Data of all available public information (implementation of the principles ""open by default"" and ""open by design"") 2. Increasing the level of reuse of public information in the form of Open Data 3. Compliance of the datasets published on the National Portal with the principles International Open Data Charter
In addition, the draft Strategy for the Development of the Open Data Sphere of Ukraine for 2025-2027 defines an operational action plan for each strategic goal, specifies measures to be implemented within each task, outlines expected results with deadlines and responsible actors: https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf 
The main measures described in the action plan are reflected in the strategic goals of this document: Development of policy and legal regulation of the field of Open Data in Ukraine; Improving the quality, interoperability, quantity and scope of Open Data sets and associated metadata; Development of accessibility and capabilities of the Unified state web portal of Open Data; Creating an ecosystem of education in the field of Open Data; Building interaction between Open Data stakeholders to realize the social and economic potential of Open Data; Strengthening the institutional capacity of the state apparatus in the formation and implementation of Open Data Policy in Ukraine.";;;;;;;;;;;;;;;;;;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The strategy envisages measures to increase the level of publication and use of dynamic data
This is done by ensuring the disclosure of dynamic datasets at the time of creation with all the elements necessary for their reuse, which includes:
empowering the central executive body that formulates policies in the field of Open Data to approve the list of dynamic datasets and to set requirements for the deadline for publication of such datasets
organization by managers of access to dynamic data sets in real time exclusively through application programming interfaces (API) in accordance with the requirements of the legislation on their content, available elements, etc. (paragraph 7 page 11) https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf ";Complement;Yes;"The strategy envisages measures to increase the level of publication and use of dynamic data. This is done by ensuring the publication of dynamic datasets at the time of creation with all the elements necessary for their reuse, which includes: empowering the central executive body that formulates policies in the field of Open Data to approve the list of dynamic datasets and to set requirements for the deadline for publication of such datasets organization by managers of access to dynamic data sets in real time exclusively through application programming interfaces (API) in accordance with the requirements of the legislation on their content, available elements, etc. (paragraph 7 page 11) https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf
In addition, the draft Open Data Development Strategy for 2025-2027 also defines an increase in the number of dynamic datasets, access to which is provided via APIs. This is defined in task 3 of strategic goal 2 (page 13): https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf ";;;;;;;;;;;;;;;;;;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The Law of Ukraine on ""Access to Public Information"" provides for the possibility of publishing information provided by individuals or legal entities under private law.

However, if a natural or legal person under private law is a provider of information of significant public interest or concerns the environment, protection of life and health of citizens - such publication is mandatory. NGO ""Save Dnipro"" publish its own data on the National portal https://data.gov.ua/organization/9b012670-b499-4923-a3c9-4c23f1d86f8f";Complement;Yes;"The Law of Ukraine ""on Access to Public Information"" provides for the possibility of publishing information provided by individuals or legal entities under private law.
However, if a natural or legal person under private law is a provider of information of significant public interest or concerns the environment, protection of life and health of citizens - such publication is mandatory. NGO ""Save Dnipro"" publish its own data on the National portal https://data.gov.ua/organization/9b012670-b499-4923-a3c9-4c23f1d86f8f.
Moreover, the draft Strategy for the Development of Open Data for 2025-2027 also defines measures to increase the intensity of publication and access to data generated by citizens. This is defined in task 3 of Strategic Goal 5 (page 25). This task is aimed at building relationships between business and government regarding the sharing of machine-readable data, which will facilitate the effective use of this data. Such exchange will promote the development of the digital economy, innovation and the implementation of modern technological solutions, and can also lead to insufficient interaction and exchange of data between sectors.
The expected results of the implementation of Task 3 of Strategic Goal 5 will be the creation of a basis for the development of a regulatory framework that regulates B2B (business-to-business) and B2G (business-to-government) relations in the field of machine-readable data exchange. The implementation of such regulation will positively affect the economic and social development of the country thanks to the exchange of information for the purpose of innovation and development of new products and services based on Open Data. In addition, the possibility of creating a special tax regime for enterprises that develop products based on Open Data was studied in order to attract investments and support startups in this area. https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf ";;;;;;;;;;;;;;;;;;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;From 2018, datasets from the national portal are harvested by the European Open Data Portal automatically https://data.europa.eu/data/datasets?locale=en&catalog=data-gov-ua&page=1  Ukraine's Open Data policy promotes unification of datasets and its interoperability with other datasets;Confirm;;;;;;;;;;;;;;;;;;;;;
