;Dimension 3: Open Data Quality;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
;3.1 Currency and completeness;;;;;
Q1;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

For Explanation:
* If yes, please briefly describe your approach.";Yes;(Review 1 - Answer revised) The model for the publication plan is available on https://data.gov.ro/pages/resources and includes metadata details (such as update frequency). The monitoring of available plans is done manually by the portal team and discussed with the respective agency.;Complement;;"In addition to existing measures, the draft secondary legislation (Government Decision on the adoption of the Implementing Norms for Law no.179/2022 on open data) has more detailed provisions on ensuring metadata quailty (section III) (https://e-consultare.gov.ro/w/hotarare-a-guvernului-pentru-aprobarea-normelor-metodologice-de-aplicare-a-legii-nr-179-2022-privind-datele-deschise-si-reutilizarea-informatiilor-din-sectorul-public/). 
Further actions will be included in the Strategy under the ”HVDs publication and improved Data Quality” pillar (https://data.gov.ro/pages/cadrul-strategic)"
Q2;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

For Explanation:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to";new question;new question;Change;<30%;Due to limited resources and available data, there national open data portal doesn't currently harvest metadata from other sources, however, several institutions are uploading data via APIs.
Q3;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

For Explanation:
* Please explain the approach for updating metadata in a timely manner";new question;new question;Change;Within one month;the metadata is mostly edited/updated manually, hence it is updated when the resources/datesets are uploaded or updated.
Q4;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example,the complete time series?

For Explanation:
* If yes, please explain the measures in place to ensure complete series of datasets";new question;new question;Change;No;the draft secondary legislation has recommendations on data quality aspects, including completeness and consistency. In practice, so far, there are only a few datasets where consistency has been ensured. September 2024 Update: The draft secondary legislation is available here: https://e-consultare.gov.ro/w/hotarare-a-guvernului-pentru-aprobarea-normelor-metodologice-de-aplicare-a-legii-nr-179-2022-privind-datele-deschise-si-reutilizarea-informatiilor-din-sectorul-public/
Q5;"Have you implemented the DCAT-AP High Value Datasets (semiceu.github.io) tag to denote the High-Value Datasets in your (national) open data portal(s)?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;No;
Q6;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;There has been communication with the institutions holding HVDs to ensure compliance and use of available metadata standards and vocabularies (particularly INSPIRE data)
;3.2 Monitoring and measures;;;;;
Q7;"Do you monitor the quality of the metadata available on your portal?

For Explanation:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism.";yes;Through reports https://data.gov.ro/report, direct monitoring and user feedback and to a lesser extent using the MQA tool on data.europa.eu;Confirm;;
Q8;"Do you publish information on the quality of the metadata available on the portal?

For Explanation:
* If yes, please provide the URL to this section. ";no;;Change;Yes;Reports available: https://data.gov.ro/report
Q9;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

For Explanation:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools.";new question;new question;Change;Yes;"Available guidelines: https://data.gov.ro/pages/licence
https://data.gov.ro/uploads/page_images/2020-09-14-105456.958150Metodologie-date-deschisefeb2019.pdf
To be complimented by the provisions of the (draft) secondary legislation: https://e-consultare.gov.ro/w/hotarare-a-guvernului-pentru-aprobarea-normelor-metodologice-de-aplicare-a-legii-nr-179-2022-privind-datele-deschise-si-reutilizarea-informatiilor-din-sectorul-public/.
Another measure is planned to be included in the next update of the portal in the form of metadata audit tools."
Q10;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

For Explanation:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe ";new question;new question;Change;Yes;"Available guidelines: https://data.gov.ro/pages/licence
https://data.gov.ro/uploads/page_images/2020-09-14-105456.958150Metodologie-date-deschisefeb2019.pdf (Publication Methodology - to be updated)
To be complimented by the provisions of the (draft) secondary legislation: https://e-consultare.gov.ro/w/hotarare-a-guvernului-pentru-aprobarea-normelor-metodologice-de-aplicare-a-legii-nr-179-2022-privind-datele-deschise-si-reutilizarea-informatiilor-din-sectorul-public/.
Another measure is planned to be included in the next update of the portal in the form of metadata audit tools."
Q11;"Do your open data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences, specifically CC BY 4.0 and CC0?

For Explanation:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* Please provide a URL link to the guidelines";new question;new question;Change;Yes;Law no.179/2022 on open data https://legislatie.just.ro/Public/DetaliiDocument/256414), transposing the DIrective, states that the recommended licences are the CC suite, specifically the CC BY 4.0 and CC0. This is also the recommendation at portal level (https://data.gov.ro/pages/licence).
Q12;What percentage of the open data available on the national portal is accompanied by licensing information? ;>90%;N/A;Confirm;;N/A
Q13;How many different licences are used on your portal?;1-4;N/A;Confirm;;N/A
Q14;"Besides providing guidelines, are there regular activities conducted or mechanisms in place to  assist publishers in supplying high-quality datasets (metadata quality and data quality)?

For Explanation:
* If yes, please explain the support you provide?";new question;new question;Change;Yes;"Webinars, working groups, information sessions and one-on-one assistance (https://data.gov.ro/blog/rezumatul-dezbaterii-publice-de-la-date-deschise-la-guvernanta-datelor; https://data.gov.ro/blog).
These measures will be complemented by dedicated actions in the Strategy now under development, as well as data and metadata audit tools to be implemented in the future update of the portal."
;3.3 DCAT-AP Compliance;;;;;
Q15;"Does the national portal follow the DCAT-AP framework or, if not, are standards in place to ensure interoperability with DCAT-AP?

For explanation:
* If the  portal follow the DCAT-AP framework, please describe how compliance with DCAT-AP is ensured
* If the portal does not follow the DCAT-AP framework, please describe how interoperability with DCAT-AP is ensured";new question;new question;Change;Yes;"There are provisions and guidelines in both the Law no.179/2022 on open data and in the draft secondary legislation on its implementation, as well as in the available Methodology https://data.gov.ro/uploads/page_images/2020-09-14-105456.958150Metodologie-date-deschisefeb2019.pdf) on DCAT-AP compliance. 
There are also additional resources on the portal linking to available EU level documentation (https://data.gov.ro/pages/resources).
Further technical measures will be implemented with the proposed portal update."
Q16;What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes? (agent, catalogue, dataset, literal, resource);71-90%;;Confirm;;N/A
Q17;What is the percentage of metadata on your portal that uses DCAT-AP recommended classes? (category, category scheme, distribution, licence document);10-30%;;Confirm;;N/A
Q18;What is the percentage of metadata on your portal that uses DCAT-AP optional classes? (catalogue record, checksum, document, frequency);<10%;;Confirm;;N/A
Q19;"Is there a national extension of the DCAT-AP standard developed for your country? 

For Explanation:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension.";no ;;Confirm;;
Q20;"Do you investigate the most common causes for the lack of DCAT-AP compliance?

For Explanation:
* If yes, what are the main causes for the lack of DCAT-AP compliance?";new question;new question;Change;Yes;low awareness on controlled vocabularies, lack of standardised management of data to enable structured publication, pending portal development and in-depth guidelines for publication
Q21;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?;>90%;N/A;Confirm;;N/A
Q22;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?;<10%;N/A;Confirm;;N/A
;3.4 Deployment quality and linked data;;;;;
Q23;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

For Explanation:
* If yes, please briefly describe.";yes;The portal (and Methodology) uses the 5-Star Open Data model to automatically assess the quality of published data. This is also included in the upcoming implementation norms.;Confirm;;
Q24;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data?

For Explanation:
* If yes, please briefly describe.";yes;Webinars, working groups, information sessions and one-on-one assistance using the government methodology on OD but also EU /EDP Reports data and recommendations.;Confirm;;
Q25;What percentage of datasets are made available under an open licence? ;>90%;N/A;Confirm;;N/A
Q26;What percentage of licences are provided in a structured data format?;>90%;N/A;Confirm;;N/A
Q27;What percentage of datasets are provided in an open and machine-readable format?;31-50%;N/A;Confirm;;N/A
Q28;What percentage of datasets consistely use Uniform Resource Identifiers?;<10%;N/A;Confirm;;N/A
Q29;What percentage of datasets link to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?;<10%;N/A;Confirm;;N/A
