;Dimension 3: Open Data Quality;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
;3.1 Currency and completeness;;;;;
Q1;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

For Explanation:
* If yes, please briefly describe your approach.";yes;Data publishers (for example public administrative offices) are directly responsible for it;Confirm;;
Q2;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

For Explanation:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to";new question;new question;Change;90-99%;"We have two harvesters: one for DCAT datasets (ckanext-dcatapchharvest) and one for geometadata from the national geometadata portal geocat.ch (ckanext-geocat). For the latter, we need a special mapping from the geometadata standard to the DCAT-AP CH. 
To install the harvester, we need a harvester endpoint from the publisher, who decides how often his catalog should be harvested from the national portal (daily, weekly, monthly, etc.).  "
Q3;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

For Explanation:
* Please explain the approach for updating metadata in a timely manner";new question;new question;Change;Within one day;Once the harvester is finished, the metadata is updated. We have fixed cronjobs installed for each harvester (e.g. every day at 1 am). But you can also update the harvester manually by starting a reharvest. 
Q4;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example,the complete time series?

For Explanation:
* If yes, please explain the measures in place to ensure complete series of datasets";new question;new question;Change;No;We only have the modified date to show that something has changed in the dataset. But no versioning at the moment. 
Q5;"Have you implemented the DCAT-AP High Value Datasets (semiceu.github.io) tag to denote the High-Value Datasets in your (national) open data portal(s)?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;But we are following DCAT-AP HVD and will decide later if and how to use it in Switzerland. 
Q6;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;
;3.2 Monitoring and measures;;;;;
Q7;"Do you monitor the quality of the metadata available on your portal?

For Explanation:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism.";yes;Part of the publication process is a review, carried out from OGD Office check. We also perform an monthly automatic validation of metadata, which checks the conformity of the dataset to the DCAT-AP CH standard. We plan to make this validation more and more rigorous, to increase the metadata quality. Furthermore a link checker runs and data publishers are informed once a month. ;Complement;Yes;"Part of the publication process is a review carried out by the OGD office. We also perform a monthly automatic validation of the metadata, which checks the conformity of the dataset with the DCAT-AP CH standard (SHACL-Checker). We plan to make this validation more and more rigorous in order to increase the quality of the metadata. In addition, a link checker runs and data publishers are informed once a month. URL to OGDCH-Checker: https://github.com/opendata-swiss/ogdch_checker 
URL: https://github.com/opendata-swiss/ogdch_checker"
Q8;"Do you publish information on the quality of the metadata available on the portal?

For Explanation:
* If yes, please provide the URL to this section. ";no;;Complement;No;But we're in the process of setting up a dashboard for metadata quality, like the one on data.europa.eu. Publication of the dashboard scheduled for December 2024
Q9;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

For Explanation:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools.";new question;new question;Change;Yes;"OGD-guidelines: https://handbook.opendata.swiss/fr/content/glossar/bibliothek/ogd-richtlinien.html
"
Q10;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

For Explanation:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe ";new question;new question;Change;Yes;Here in this overview table you can see which fields from the DCAT-AP CH are mandatory, conditional or optional on opendata.swiss: https://handbook.opendata.swiss/fr/content/glossar/bibliothek/dcat-ap-ch.html#overview
Q11;"Do your open data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences, specifically CC BY 4.0 and CC0?

For Explanation:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* Please provide a URL link to the guidelines";new question;new question;Change;Yes;"On the portal, we need terms of use derived from the CC licenses. But the publisher can also use the CC-Licence, but only for their own catalog and for data.europa.eu. The terms of use are mandatory on the portal. 
URL: https://handbook.opendata.swiss/fr/content/glossar/bibliothek/dcat-ap-ch.html#dcat-distribution-license, https://opendata.swiss/en/terms-of-use, https://www.dcat-ap.ch/vocabulary/licenses/20210623.html"
Q12;What percentage of the open data available on the national portal is accompanied by licensing information? ;>90%;N/A;Confirm;;N/A
Q13;How many different licences are used on your portal?;1-4;N/A;Confirm;;N/A
Q14;"Besides providing guidelines, are there regular activities conducted or mechanisms in place to  assist publishers in supplying high-quality datasets (metadata quality and data quality)?

For Explanation:
* If yes, please explain the support you provide?";new question;new question;Change;Yes;The OGD Office offers training courses for data publishers on OGD and data management, where the topics of metadata and data quality are also addressed (https://www.bfh.ch/ogd-weiterbildung). It also organizes the OGD Forum twice a year, where various publishers present their processes and discuss topics such as (meta)data quality. The OGD working group KORSTAT is a forum for the exchange of experiences in the field of data publication. This is particularly helpful for cantons that are at the beginning of the process and can therefore benefit from the experience of early adopters
;3.3 DCAT-AP Compliance;;;;;
Q15;"Does the national portal follow the DCAT-AP framework or, if not, are standards in place to ensure interoperability with DCAT-AP?

For explanation:
* If the  portal follow the DCAT-AP framework, please describe how compliance with DCAT-AP is ensured
* If the portal does not follow the DCAT-AP framework, please describe how interoperability with DCAT-AP is ensured";new question;new question;Change;Yes;DCAT-AP CH is intended to ensure compatibility with the Application Profile for Data Portals in Europe (DCAT-AP). As this was no longer the case with version 1, the eCH Open Government Data Working Group defined the current version 2, which ensures the highest possible compatibility with DCAT-AP version 2.1.0). In May 2024, the eCH Open Government Data Working Group started the process to ensure that DCAT-AP CH is compatible with the current DCAT-AP version 3.0.0.  
Q16;What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes? (agent, catalogue, dataset, literal, resource);>90%;;Confirm;>90%;N/A
Q17;What is the percentage of metadata on your portal that uses DCAT-AP recommended classes? (category, category scheme, distribution, licence document);>90%;;Confirm;>90%;N/A
Q18;What is the percentage of metadata on your portal that uses DCAT-AP optional classes? (catalogue record, checksum, document, frequency);51-70%;we use frequency, though it is called accrual_periodicity, see here: https://ckan.opendata.swiss/api/3/action/package_search?fq=accrual_periodicity:*;Confirm;51-70%;N/A
Q19;"Is there a national extension of the DCAT-AP standard developed for your country? 

For Explanation:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension.";yes;We have DCAT-AP CH in version 1, which was created in 2018 and builds on DCAT-AP version 1. Version 2.0.0 has recently been approved by eCH. The definition area is https://dcat-ap.ch/. There you will find both versions of the DCAT-AP CH. The portal is mainly based on the DCAT-AP conformance, but also on the version 1 of the DCAT-AP CH, as it contains some Swiss fields used by the community. The decision to create a version 2 of DCAT-AP CH and to keep a national application profile was a difficult one. We decided to keep it because there are particularities in the use of the standard, there are properties such as distribution coverage that the Swiss community relies on and that can't be found in DCAT-AP. The vocabulary also needs Swiss adaptations. Licences are used in a different way than in DCAT-AP. We felt that it would better support the Swiss community if Switzerland maintained its own profile and explained how classes and properties are adapted to the Swiss context. While version 1 of DCAT-AP CH was not DCAT-AP compatible with version 2.0.1 of DCAT-AP. DCAT-AP CH V2 is now compatible with DCAT-AP.;Complement;Yes;We have DCAT-AP CH in version 1, which was created in 2018 and builds on DCAT-AP version 1. Version 2.0.0 has recently been approved by eCH. The definition area is https://dcat-ap.ch/. There you will find both versions of the DCAT-AP CH. The portal is mainly based on the DCAT-AP conformance, but also on the version 1 of the DCAT-AP CH, as it contains some Swiss fields used by the community. The decision to create a version 2 of DCAT-AP CH and to keep a national application profile was a difficult one. We decided to keep it because there are particularities in the use of the standard, there are properties such as distribution coverage that the Swiss community relies on and that can't be found in DCAT-AP. The vocabulary also needs Swiss adaptations. Licences are used in a different way than in DCAT-AP. We felt that it would better support the Swiss community if Switzerland maintained its own profile and explained how classes and properties are adapted to the Swiss context. While version 1 of DCAT-AP CH was not DCAT-AP compatible with version 2.0.1 of DCAT-AP. DCAT-AP CH V2 is now compatible with DCAT-AP v2.0.1. In May 2024, the eCH Open Government Data Working Group started the process to ensure that DCAT-AP CH is compatible with the current DCAT-AP version 3.0.0.  
Q20;"Do you investigate the most common causes for the lack of DCAT-AP compliance?

For Explanation:
* If yes, what are the main causes for the lack of DCAT-AP compliance?";new question;new question;Change;Yes;The main reasons for the lack of conformity with the DCAT-AP are specific features in the Swiss context. For example, the coverage of distribution, which the Swiss community relies on and which cannot be found in DCAT-AP. The vocabulary also requires Swiss adaptations. Licenses are used differently than in DCAT-AP. 
Q21;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?;>90%;N/A;Change;71-90%;N/A
Q22;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?;>90%;N/A;Change;>90%;N/A
;3.4 Deployment quality and linked data;;;;;
Q23;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

For Explanation:
* If yes, please briefly describe.";yes;We use the 5-Star Open Data;Confirm;;
Q24;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data?

For Explanation:
* If yes, please briefly describe.";yes;In our OGD-guideline we promote the 5-Star Open Data model. We do reviews. ;Complement;Yes;In our OGD-guideline we promote the 5-Star Open Data model. We do reviews. Within the eCH working group OGD, we have recently started to create aids and tools for metadata quality and data quality. 
Q25;What percentage of datasets are made available under an open licence? ;>90%;N/A;Confirm;;N/A
Q26;What percentage of licences are provided in a structured data format?;>90%;N/A;Confirm;;N/A
Q27;What percentage of datasets are provided in an open and machine-readable format?;51-70%;N/A;Confirm;;N/A
Q28;What percentage of datasets consistely use Uniform Resource Identifiers?;10-30%;N/A;Confirm;;N/A
Q29;What percentage of datasets link to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?;<10%;N/A;Change;10-30%;N/A
