;Dimension 3: Open Data Quality;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;"Provide updated answer (if applicable)+I7;H3:I6";Provide updated explanation (if applicable)
;3.1 Currency and completeness;;;;;
Q1;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

For Explanation:
* If yes, please briefly describe your approach.";yes;A generalized approach has been defined that provides for weekly harvesting of each federated catalogue (https://www.dati.gov.it/elenco-harvest-sources), except for specific requests for more frequent updating. Consequently, the update in the national portal is aligned with that one of the harvested local/thematic portal.;Confirm;;
Q2;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

For Explanation:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to";new question;new question;Change;100%;"Each data provider is required to communicate the endpoint of  its local catalogue and then that local catalogue is harvested by the national portal automatically.
In case a data provider doesn't manage an own local catalogue, the provider can create a dump file of metadata to be published in the national portal from a web accessible folder."
Q3;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

For Explanation:
* Please explain the approach for updating metadata in a timely manner";new question;new question;Change;Within one week;A generalized approach has been defined that provides for weekly harvesting of each federated catalogue (https://www.dati.gov.it/elenco-harvest-sources), except for specific requests for more frequent updating. Consequently, the metadata is visible on the portal within a week at latest.
Q4;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example,the complete time series?

For Explanation:
* If yes, please explain the measures in place to ensure complete series of datasets";new question;new question;Change;Yes;In the national Open Data Guidelines (binding for PAs), there is a specific recommendation that in the case of data series, the publication should cover not only the most recent or current data, but the entire series so as not to lose an important wealth of information useful, for example, for analyses on the evolution of various phenomena of interest.
Q5;"Have you implemented the DCAT-AP High Value Datasets (semiceu.github.io) tag to denote the High-Value Datasets in your (national) open data portal(s)?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"We are working to implement DCAT-AP HVDs.
We were waiting for the adaptation of CKAN to that guidelines in order to avoid customezed solutions. That was one of the challenges, also because we need to also adapt the plugin related to the national profile (DCAT-AP_IT) that will be made available as open source for reuse . "
Q6;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"A specific guidance document has been adopted and published in order to provide the data owners with operational and more detailed indications for a more effective implementation of the Regulation (also related to ensure the interoperability) and support them in the process of opening that type of data.
The first version of the guidance document is available at the URL https://www.agid.gov.it/sites/default/files/repository_files/guida_operativa_hvd_-_ver._1.0.pdf "
;3.2 Monitoring and measures;;;;;
Q7;"Do you monitor the quality of the metadata available on your portal?

For Explanation:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism.";yes;"""Increasing the quality of metadata is a specific goal of the Three Year Plan for ICT in the PA 2022 - 2024 as well as the previous Plans, [https://www.agid.gov.it/sites/default/files/repository_files/piano_triennale_per_linformatica_nella_pa_2022-2024.pdf ]. Some actions and expected results in that Plan, indeed, concern the metadata quality:

R.A.2.2a - Increase the number of datasets with quality metadata compliant with European and national reference standards

To this end, the national portal makes available the list of data providers with the number of their datasets documented through metadata (see https://dati.gov.it/amministrazioni ) and the list of harvested catalogues with the number of datasets for each catalog (see https://dati.gov.it/elenco-harvest-source ). In addition, a validator has been implemented to allow data providers to know the quality of the metadata through compliance with mandatory and strongly recommended properties (such as contact point) in the DCAT-AP_IT profile. All this tools are used to discover any anomalies to be communicated to the competent administrations for a consequent improvement of metadata quality.
The dynamic Monitoring page in the data portal https://dati.gov.it/Monitoraggio/MonitoraggioDinamico shows the measures about the quality of metadata published in the open data portal on the basis of a weekly frequency. To this purpose some indicators have been identified in relation to which targeted and joint interventions are carried out with the individual administrations to improve the information available on the portal.
That page also shows the measures of the expected results and target of the Plan mentioned above.
";Confirm;;
Q8;"Do you publish information on the quality of the metadata available on the portal?

For Explanation:
* If yes, please provide the URL to this section. ";yes;The information on the metadata quality is available in the monitoring section of the data portal, also downloadable in csv format: https://dati.gov.it/Monitoraggio/MonitoraggioDinamico ;Confirm;;
Q9;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

For Explanation:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools.";new question;new question;Change;Yes;"https://www.dati.gov.it/fare-open-data/Strumenti-per-gli-Open-Data

https://www.dati.gov.it/fare-open-data/Strumenti-per-gli-Open-Data
https://www.dati.gov.it/contesto-normativo

The Guidelines for the implementation of the Legislative Decree no. 36/2006, as amended by Legislative Decree no. 200 of 8 November 2021, transposing Directive (EU) 2019/1024,  https://www.agid.gov.it/sites/default/files/repository_files/lg-open-data_v.1.0_1.pdf

Guidance document on HVDs: https://www.agid.gov.it/sites/default/files/repository_files/guida_operativa_hvd_-_ver._1.0.pdf"
Q10;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

For Explanation:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe ";new question;new question;Change;Yes;"The national metadata profile based on DCAT-AP (i.e. DCAT-AP_IT) states the mandatory (minimum) metadata required and the related DCAT-AP properties.
It includes some extensions with respect to DCAT-AP, e.g. the rights holder, as well as more restrictive properties (from optional or recommended to mandatory). "
