;Dimension 1: Open Data Policy;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;1.1 Policy framework;;;;;;;;;;;
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;Yes. Transposition of Open Data Directive (2003, 2019)  is ensured via Law on Free Access to Information (FOA). Transposition of DIRECTIVE (EU) 2019/1024  of 20 June 2019 on open data and the re-use of public sector information is effective from 1st August 2022.;Confirm;;;;;;;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"Yes, there is still valid Strategic Priority of Open Data that is part of the National Strategy of the informatization of the public administration 2016:
https://www.mirri.gov.sk/wp-content/uploads/2018/10/SP_Otvorene_udaje_schvalena-2.pdf
The aim is to:
* incerasing the number of open datasets
* supporting use of open data
* increasing the open data quality (both in """"stars"""" convenience - 5stars.org and real data quality)
*supporting data economy
o Orientation towards better life quality services
o Orientation towards increasing competitiveness
o Bringing public administration closer to maximizing data usage
o Enable the modernization and rationalization of public administration through  ICT technologies (constantly improvement of services with the use of modern technologies) Additionally, there are other opendata policies that are complementary: 1) National strategy of informatization of the public administration 2021, update of 2016 strategy https://www.mirri.gov.sk/wp-content/uploads/2021/12/Narodna-koncepcia-informatizacie-verejnej-spravy-2021.pdf  2) Open Government Partnership National Action Plan of the Slovak Republic 2020-2021 https://www.opengovpartnership.org/documents/slovakia-action-plan-2019-2021/ 3) OGP National Action Plan of the Slovak Republic 2022-2024  https://www.opengovpartnership.org/documents/slovak-republic-action-plan-2022-2024/";Change;Yes;"Yes, there is still valid Strategic Priority of Open Data that is part of the National Strategy of the informatization of the public administration 2016:
https://www.mirri.gov.sk/wp-content/uploads/2018/10/SP_Otvorene_udaje_schvalena-2.pdf
The aim is to:
* incerasing the number of open datasets
* supporting use of open data
* increasing the open data quality (both in """"stars"""" convenience - 5stars.org and real data quality)
*supporting data economy
o Orientation towards better life quality services
o Orientation towards increasing competitiveness
o Bringing public administration closer to maximizing data usage
o Enable the modernization and rationalization of public administration through  ICT technologies (constantly improvement of services with the use of modern technologies) Additionally, there are other opendata policies that are complementary: 1) National strategy of informatization of the public administration 2021, update of 2016 strategy https://www.mirri.gov.sk/wp-content/uploads/2021/12/Narodna-koncepcia-informatizacie-verejnej-spravy-2021.pdf  2) Open Government Partnership National Action Plan of the Slovak Republic 2022-2024 https://www.opengovpartnership.org/documents/slovak-republic-action-plan-2022-2024/ 3) open Government Partnership National Action Plan of the Slovak Republic 2024-2026  https://www.minv.sk/swift_data/source/rozvoj_obcianskej_spolocnosti/otvorene_vladnutie/2023/AP%20OGP%202024-26_web.pdf";;;;;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;Yes, a few municipalities and self-governing region have their own (open) data policies, e.g. 1) City of Bratislava https://opendata.bratislava.sk/page/data (Directive of Data policy) 2) Self-governing region of Banská Bystrica *https://www.bbsk.sk/datova-politika-ubbsk (Strategy, Standards of dataset creation, Directive of data policy) Additionally, there are other municipalities and self-governing regions that publish open data at their portals/websites *incorrect link replaced;Confirm;;;;;;;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;Yes. National strategy of the informatization of the public administration 2021 defines these measures in area of open data:1) To transpose into legislative framework PSI Directive 2019, 2) To ensure that public bodies will be publish information primary as open data, in open formats and register them at data.gov.sk, 3) To publish HVD via API, 4) To provide methological, technical, educational support to public bodies and make available re-usable technical solutions that will help publish data, 5) To support accessibility of research data by  FAIR principle incorporated into national measures, 6) To implement methodologies, tools, standards, principles measured within ODMI, etc. https://www.mirri.gov.sk/wp-content/uploads/2021/12/Narodna-koncepcia-informatizacie-verejnej-spravy-2021.pdf (p. 56). As mentioned above, MIRRI is currently working on the Action plan of National strategy of the informatization of the public administration with detailed description of goals, milestones, measures. Additionally, working paper Strategic priortity Management of Data is in the process too - this document will update previous Strategic priority Open Data from 2017 that is still valid.;Confirm;;;;;;;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;Yes, based on the transposition of Open Data Directive 2019 into Law on Free Access to the information public sector bodies are obliged to make the dynamic data available for the purposes of their re-use right  after their creation, via API, if appropriate, through their download in a bulk. https://www.slov-lex.sk/pravne-predpisy/SK/ZZ/2000/211/ § 21g (3);Confirm;;;;;;;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Change;Yes;"National strategy for open science 2021-2028 has one of strategic areas Suport of using existing open IT tools and open data, Task 6.3: Popularization and use of open open data in
research institutions and open science. (https://www.minedu.sk/data/files/10833_narodna-strategia-pre-otvorenu-vedu-na-roky-2021--2028.pdf)";;;;;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;Yes, by implementing DCAT-AP and increasement of metadata quality. ;Confirm;;;;;;;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Indirectly via implementing policy of Reference Registries (e.g. Register of adressess, Register of physical persons, Register of legal entities, etc.) that are considered as sources of ""ulttimate truth"" and are integrated into IT systems of responsible bodies to provide government services to the citizens in accordance with ""one time, last time"" principle. Also, multiple open calls ""Data Management of public administration"" support activities aiming to develop use cases on open data by governmental or public administration organization https://www.mirri.gov.sk/projekty/projekty-esif/operacny-program-integrovana-infrastruktura/prioritna-os-7-informacna-spolocnost/vyzvania-a-vyzvy/vyzva-c-opii-2021-7-15-dop/index.html";Confirm;;;;;;;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Yes, one of the main goal of the Strategic priority of open data  is to release the economic potential of open government data. It expects establishment of a strong open data industry in IT technologies, e.g. data analyses, innovative startups. https://www.mirri.gov.sk/wp-content/uploads/2018/10/SP_Otvorene_udaje_schvalena-2.pdf Measures are e.g.  focus on publishing the most requested datasets by public, ideally via API, to support re-use of open data in commercial/noncommercial solutions, to increase quality of open data, publication of open data via API, accessibility of open data in english language. Additionally, since 2020, Governmental organization and public administration has an access to financial resources within Operational Program Integrated Infrastructure that provides founding for individual IT projects that aim to accomplish strategic goals of the government in the IT segment. Multiple open calls ""Data Management of public administration"" aim to support accessibility of open data , ***HVD, the most requested datasets by public*** that are considered as datasets with high potential to be re-used. https://www.mirri.gov.sk/projekty/projekty-esif/operacny-program-integrovana-infrastruktura/prioritna-os-7-informacna-spolocnost/vyzvania-a-vyzvy/vyzva-c-opii-2021-7-15-dop/index.html";Confirm;;;;;;;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"Yes, Obligation to create, maintance and publish data inventory is based on the Resolution of the Slovak government no. 347/2017, more information available here https://datalab.digital/verejna-sprava/otvorene-udaje-verejnej-spravy/informacia-k-plneniu-ulohy-b18/ ; htps://www.slovensko.sk/_img/CMS4/strategia_otvorene_udaje.pdf Responsible bodies are organization of the central government. ";Confirm;;;;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"Data inventory has to contain also records on datasets that cannot be published with the reason why (e.g. Privacy and personal data protection, Commercial confidentiality; 
Statistical confidentiality; National security, defence, and public security; Intellectual property. ) Data Unit at MIRRI has created a model structure of data inventory and published it online https://datalab.digital/wp-content/uploads/Inventar_otvorenych_udajov.ods with additional description https://datalab.digital/verejna-sprava/otvorene-udaje-verejnej-spravy/informacia-k-plneniu-ulohy-b18/  Methodology for data inventories https://www.mirri.gov.sk/wp-content/uploads/2018/10/Dodatok-c.-1-k-Metodickemu-pokynu-k-Vynosu-o-standardoch-552014-ilovepdf-compressed.pdf
";Confirm;;;;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;"We prepared DCAT_AP_SK standard which is in accordance with DCAT_HVD. 
https://htmlpreview.github.io/?https://github.com/slovak-egov/centralny-model-udajov/blob/develop/tbox/national/dcat-ap-sk/index.html 
Our central portal data.slovensko.sk use SparqlEndPoint for harvesting  a local portal. We provide information regarding HVD datasets on our methology portal. https://wiki.vicepremier.gov.sk/display/opendata/7.+HVD+-+Datasety+s+vysokou+hodnotou
";;;;;;
;Categories of high-value datasets;Answers  2024;;Degree of progress (from 1 to 5);;;;;;;;
;;Organisational progress;Legal progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Publication of high-value datasets as bulk download, where relevant;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;;;;
P11-a;Geospatial;4;4;4;4;4;4;4;;;;
P11-b;Earth observation and environment;4;4;4;4;4;4;4;;;;
P11-c;Meteorological;3;3;3;3;3;3;3;;;;
P11-d;Statistics;4;4;4;4;4;4;4;;;;
P11-e;Companies and company ownership;4;4;4;4;4;4;4;;;;
P11-f;Mobility;3;3;3;3;3;3;3;;;;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;National portal has a funkcionality to denote a HVD datasets.;;;;;;
;1.2 Governance of open data;;;;;;;;;;;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;yes, Data unit at Ministry of investments, regional development and infomatization of Slovak republic holds regural working group https://wiki.vicepremier.gov.sk/pages/viewpage.action?pageId=101824241 Members of working group are national open data team, data stewards or officers from public offices (including local self governments) and experts (including NGO). Memebers are not officially appointed but rather added to mailing list.  All working groups meetings are online and recordings are published on Youtube. It is not determined how often should meetings occur, typically there are at least 3 meetings per year. Agenda is set by the national open data team. This working group also provides feedback to important documents (methodologies, analyses, call for proposals);;;;;;
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;There are inititives from providers, local municipalities, NGOs and also from national open data team.;Confirm;;;;;;;;
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;Yes;Local data stewards and officers are members of working group mentioned in P13. They can create local catalogs, which can be harvested on national open data portal (https://data.slovensko.sk/lokalne-katalogy). They can also use funds from Data Management proposals for financing their open data publication (https://mirri.gov.sk/projekty/projekty-esif/operacny-program-integrovana-infrastruktura/prioritna-os-7-informacna-spolocnost/vyzvania-a-vyzvy/vyzva-c-opii-2021-7-15-dop/). We also help them with our Publication Minimum initiative (set of recommended datasets which they can publish with defined structures) https://wiki.vicepremier.gov.sk/pages/viewpage.action?pageId=67152323. They can also use fast grants (Recovery plan) to organize hackathons  (https://www.planobnovy.sk/aktuality/mirri-zverejnilo-novu-vyzvu-na-hackathony/).;;;;;;
