;Dimension 3: Open Data Quality;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
;3.1 Currency and completeness;;;;;
Q1;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

For Explanation:
* If yes, please briefly describe your approach.";yes;We have a clearly defined metadata approach conform DCAT. So the government organisations can check if the metadata is up to date conform the standard. The datamanagement team of the portal every day checks if the (meta)data is right and if we miss datasets we contact the data owners. Documentation is published for anyone to check how to validate against the Dutch DCAT application profile of DCAT. Currently the DCAT-AP 2 DONL is being created which will implement DCAT AP 2;Complement;;We have a clearly defined metadata approach conform DCAT. So the government organisations can check if the metadata is up to date conform the standard. The datamanagement team of the portal checks every day to see if the (meta)data is right and if we miss datasets we contact the data owners. Documentation is published for anyone to check how to validate against the Dutch DCAT application profile of DCAT. Currently the DCAT-AP-NL 3.0 is being created, which will implement DCAT-AP 3.
Q2;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

For Explanation:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to";new question;new question;Change;90-99%;1) Full update of meta data description of data set, linkchecker to validate the existence of the set, push-pull mechanism for synchonization with other catalogs. 2) for all data
Q3;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

For Explanation:
* Please explain the approach for updating metadata in a timely manner";new question;new question;Change;Within one day;The process described above happens automatically every day.
Q4;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example,the complete time series?

For Explanation:
* If yes, please explain the measures in place to ensure complete series of datasets";new question;new question;Change;No;It is up to the data providers how they would like to present and update their data (multiple entries, or all in one place). For example for this real-time data, downloading the data as CSV-file only shows the last ten timestamps, while it is possible to get all data via an API: https://data.overheid.nl/dataset/22475-real-time-fijnstof-monitoring . For annual datasets, when they are presented as separate datasets, earlier editions can easily be found under 'Related datasets', see this example: https://data.overheid.nl/dataset/monitor-lalo-2015 There are no actions taken to incentivise data providers to provide full time series.
Q5;"Have you implemented the DCAT-AP High Value Datasets (semiceu.github.io) tag to denote the High-Value Datasets in your (national) open data portal(s)?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;No;
Q6;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;A lot of the data that will become available as high-value open data, is INSPIRE data. These datasets/meta data are already interoperable with other countries.
;3.2 Monitoring and measures;;;;;
Q7;"Do you monitor the quality of the metadata available on your portal?

For Explanation:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism.";yes;We validate at the moment metadata is synced from connected portals. Every dataset must validate against the mandatory setting in our Dutch DCAT application profile. If datasets do not validate, they can't be added to the portal. Responsibility is with the data owner to make sure their metadata validates.  ;Confirm;;
Q8;"Do you publish information on the quality of the metadata available on the portal?

For Explanation:
* If yes, please provide the URL to this section. ";yes;We check the condition of links to resources every night. In the monitoring statistics results are shown (Quality of the data): https://data.overheid.nl/statistieken/monitor;Confirm;;
Q9;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

For Explanation:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools.";new question;new question;Change;Yes;There is a guideline for publishing data on the portal, including an explanation on the DCAT metadata standard: https://docs.datacommunities.nl/data-overheid-nl-documentatie/datasets-aanmelden/handleiding-datasets-aanmelden-op-data.overheid.nl
Q10;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

For Explanation:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe ";new question;new question;Change;Yes;The metadata must be conform the Dutch implementation of the DCAT-AP standard.Mandatory field are: title, language, metadata language, description, theme, status, data owner, organisation, license, level of openness, source.
Q11;"Do your open data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences, specifically CC BY 4.0 and CC0?

For Explanation:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* Please provide a URL link to the guidelines";new question;new question;Change;Yes;It is mandatory to select a license, and it is mentioned that the CC-0 license is recommended. On this page the possible licenses are explained: https://data.overheid.nl/ondersteuning/data-publiceren/licentie-keuze
Q12;What percentage of the open data available on the national portal is accompanied by licensing information? ;>90%;N/A;Confirm;;N/A
Q13;How many different licences are used on your portal?;5-10;N/A;Confirm;;N/A
Q14;"Besides providing guidelines, are there regular activities conducted or mechanisms in place to  assist publishers in supplying high-quality datasets (metadata quality and data quality)?

For Explanation:
* If yes, please explain the support you provide?";new question;new question;Change;Yes;New data providers are always assisted in their data publication process The team is available for support, and there is documentation on the website. 
;3.3 DCAT-AP Compliance;;;;;
Q15;"Does the national portal follow the DCAT-AP framework or, if not, are standards in place to ensure interoperability with DCAT-AP?

For explanation:
* If the  portal follow the DCAT-AP framework, please describe how compliance with DCAT-AP is ensured
* If the portal does not follow the DCAT-AP framework, please describe how interoperability with DCAT-AP is ensured";new question;new question;Change;Yes;Data publishers are required to follow the DCAT-AP-DONL metadata form when they are submitting a dataset. If it not complies, it is not accepted on the portal.
Q16;What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes? (agent, catalogue, dataset, literal, resource);>90%;;Confirm;;N/A
Q17;What is the percentage of metadata on your portal that uses DCAT-AP recommended classes? (category, category scheme, distribution, licence document);>90%;;Confirm;;N/A
Q18;What is the percentage of metadata on your portal that uses DCAT-AP optional classes? (catalogue record, checksum, document, frequency);10-30%;;Confirm;;N/A
Q19;"Is there a national extension of the DCAT-AP standard developed for your country? 

For Explanation:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension.";yes;"To optimise the searchability and findability of datasets, enrichment of EU standard. There are less free answer options, which enables easier verification of the quality of the metadata. Documentation: https://data.overheid.nl/ondersteuning/open-data/dcat
DCAT 1.1: https://dcat-ap-donl.readthedocs.io/en/latest/
DCAT 2.0: https://github.com/dataoverheid/dcat-ap-donl";Complement;;"To optimise the searchability and findability of datasets, we created a Dutch version as an enrichment of the EU standard. There are less free answer options, which enables easier verification of the quality of the metadata. The latest version (3.0, implementing DCAT-AP 3) is now in consultation:  https://docs.geostandaarden.nl/dcat/dcat-ap-nl30/ Documentation on the standards can be found on the portal: https://data.overheid.nl/ondersteuning/open-data/dcat
DCAT 1.1: https://dcat-ap-donl.readthedocs.io/en/latest/
DCAT 2.0: https://github.com/dataoverheid/dcat-ap-donl"
Q20;"Do you investigate the most common causes for the lack of DCAT-AP compliance?

For Explanation:
* If yes, what are the main causes for the lack of DCAT-AP compliance?";new question;new question;Change;No;There is no lack of DCAT-AP compliance. As mentioned in question Q15 above, the portal only accepts the submission if it complies with the DCAT standard.
Q21;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?;51-70%;N/A;Confirm;;N/A
Q22;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?;>90%;N/A;Confirm;;N/A
;3.4 Deployment quality and linked data;;;;;
Q23;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

For Explanation:
* If yes, please briefly describe.";no ;;Confirm;;
Q24;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data?

For Explanation:
* If yes, please briefly describe.";yes;We get in contact with the data providers also on user days, and we promote the DCAT AP standard and ask them to join in the development of the  DCAT AP NL.;Confirm;;
Q25;What percentage of datasets are made available under an open licence? ;>90%;N/A;Confirm;;N/A
Q26;What percentage of licences are provided in a structured data format?;>90%;N/A;Confirm;;N/A
Q27;What percentage of datasets are provided in an open and machine-readable format?;>90%;N/A;Confirm;;N/A
Q28;What percentage of datasets consistely use Uniform Resource Identifiers?;71-90%;N/A;Confirm;;N/A
Q29;What percentage of datasets link to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?;10-30%;N/A;Confirm;;N/A
