;Dimension 3: Open Data Quality;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
;3.1 Currency and completeness;;;;;
Q1;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

For Explanation:
* If yes, please briefly describe your approach.";yes;We automatically update the metadata by using our APIs and harvesting systems.;Confirm;;
Q2;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

For Explanation:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to";new question;new question;Change;100%;"data.gouv.fr offers several methods of publication:

- Direct publication
- Publication via API
- Publication through harvesting

The platform supports the harvesting of several metadata formats, including DCAT, CKAN, and GeoNetwork.

Users can set up a harvester, which must then be validated by the data.gouv.fr team.

We establish a mapping of fields for essential metadata, and some additional properties are retained for traceability purposes.

When harvesters are properly configured, we are able to retrieve 100% of the essential metadata for the data.gouv.fr model.

Harvested data represents approximately 50% of the data.gouv.fr catalog."
Q3;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

For Explanation:
* Please explain the approach for updating metadata in a timely manner";new question;new question;Change;Within one day;All the data published in an external open data portal (such as local portals), are harvested into the French Open Data platform data.gouv.fr within one day.
Q4;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example,the complete time series?

For Explanation:
* If yes, please explain the measures in place to ensure complete series of datasets";new question;new question;Change;Yes;"When publishing a file on data.gouv.fr, several file type options are available:

- Main file
- Documentation
- Update
- API
- Code repository
- Other

When relevant, we encourage data producers to use the most up-to-date dataset as the ""Main file"" and to classify previous versions under the ""Update"" type.

On the dataset page, files are organized by type, making them easier to find when there are many files."
Q5;"Have you implemented the DCAT-AP High Value Datasets (semiceu.github.io) tag to denote the High-Value Datasets in your (national) open data portal(s)?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"Yes, we have implemented it:

GitHub Link

Since we are the main contributors to udata, it was relatively simple.

Seamless integration of the European vocabulary and mapping to French keywords.

https://github.com/opendatateam/udata/pull/3050
"
Q6;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"We ensure that the metadata is properly filled out and that it is reported to data.europa. Data producers are more than us in direct contact with other data producers from others countries to ensure the coherence.
"
;3.2 Monitoring and measures;;;;;
Q7;"Do you monitor the quality of the metadata available on your portal?

For Explanation:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism.";yes;"Any published dataset on the platform has a metadata quality checklist in their admin dashboard page. The questions are:

- Is the dataset described?
- Are key words added?
- Is the format opened?
- Are discussions opened?
- Is the dataset up to date?
- Is the dataset available?

When a criterion is not met, a scheme indicates it to the producer.

We are currently working on attributing a metadata quality score on every datasets inspired by the five star model.";Complement;Yes;A metadata quality score is visible on every dataset. See document : https://guides.data.gouv.fr/guides-open-data/guide-qualite/ameliorer-la-qualite-dun-jeu-de-donnees-en-continu/ameliorer-le-score-de-qualite-des-metadonnees
Q8;"Do you publish information on the quality of the metadata available on the portal?

For Explanation:
* If yes, please provide the URL to this section. ";yes;"We publish the [catalogue of data of data.gouv.fr](https://www.data.gouv.fr/fr/datasets/catalogue-des-donnees-de-data-gouv-fr/).

In this dataset, you can find the list of published datasets, the list of files published, the list of reused published, the list of organization created, the list of tags created, and the list of discussion opened.

For each list, metadata have been associated: title, url, update, spatial granularity, creation date, last modification date.

Thanks to this information, we can monitor the quality of data sets. Example:

- Number of metadata missing
- Number of metadata inaccurate
- Number of datasets that haven’t be updated
- Etc.

We are currently working on attributing a metadata quality score on every datasets inspired by the five star model. This score will be visible by everyone.";Complement;Yes;We also developed an internal dashboard to check the progression of quality on every metadata. It is not yet available to the public.
Q9;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

For Explanation:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools.";new question;new question;Change;Yes;Metadata quality is very important to us and various actions are taken on the issue : a metadata quality score is available on each dataset. We also provide lots of documentation on the issue (see for example https://guides.data.gouv.fr/guides-open-data/guide-qualite/ameliorer-la-qualite-dun-jeu-de-donnees-en-continu/ameliorer-le-score-de-qualite-des-metadonnees). We are currently working on a new path for data publisher to help them fill the right metadata (see demo : https://demo.data.gouv.fr/fr/datasets/publishing-form/)
Q10;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

For Explanation:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe ";new question;new question;Change;Yes;See the score mentionned earlier.
Q11;"Do your open data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences, specifically CC BY 4.0 and CC0?

For Explanation:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* Please provide a URL link to the guidelines";new question;new question;Change;Yes;"We recommend the open licence LOV2. 
Public body are required to choose between LOV2 or ODBL. 
See Policy."
Q12;What percentage of the open data available on the national portal is accompanied by licensing information? ;>90%;N/A;Confirm;;N/A
Q13;How many different licences are used on your portal?;1-4;N/A;Confirm;;N/A
Q14;"Besides providing guidelines, are there regular activities conducted or mechanisms in place to  assist publishers in supplying high-quality datasets (metadata quality and data quality)?

For Explanation:
* If yes, please explain the support you provide?";new question;new question;Change;Yes;Metadata quality is very important to us and various actions are taken on the issue : a metadata quality score is available on each dataset. We also provide lots of documentation on the issue (see for example https://guides.data.gouv.fr/guides-open-data/guide-qualite/ameliorer-la-qualite-dun-jeu-de-donnees-en-continu/ameliorer-le-score-de-qualite-des-metadonnees). We are currently working on a new path for data publisher to help them fill the right metadata (see demo : https://demo.data.gouv.fr/fr/datasets/publishing-form/). We also provide tools and assistance of data quality itself through the promotion of data schema for example (see schema.data.gouv.fr). 
;3.3 DCAT-AP Compliance;;;;;
Q15;"Does the national portal follow the DCAT-AP framework or, if not, are standards in place to ensure interoperability with DCAT-AP?

For explanation:
* If the  portal follow the DCAT-AP framework, please describe how compliance with DCAT-AP is ensured
* If the portal does not follow the DCAT-AP framework, please describe how interoperability with DCAT-AP is ensured";new question;new question;Change;Yes;"Yes. 
Find the specifications here : https://guides.data.gouv.fr/guide-data.gouv.fr/moissonnage/les-differents-types-de-moissonneurs#dcat-1"
Q16;What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes? (agent, catalogue, dataset, literal, resource);>90%;;Confirm;;N/A
Q17;What is the percentage of metadata on your portal that uses DCAT-AP recommended classes? (category, category scheme, distribution, licence document);>90%;;Confirm;;N/A
Q18;What is the percentage of metadata on your portal that uses DCAT-AP optional classes? (catalogue record, checksum, document, frequency);>90%;;Confirm;;N/A
Q19;"Is there a national extension of the DCAT-AP standard developed for your country? 

For Explanation:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension.";yes;"France has built a specification of the data model for catalog of datasets published in open data by local authorities. 
The opendata catalog of a community gathers the metadata description of the datasets it publishes. It can be generated automatically by the platform that hosts or harvests them. Several standards allow the standardization of the metadata of a catalog (INSPIRE for geographic data, DCAT and its variations for all types of open data), but local catalogs, when they exist, whether they are exposed via an API or extracted in the form of files, often depend on the technical capacity of the solution used and its configuration (different formats, more or less rich or extensive, depending on the platform, unique catalog and not for each producer when the platform is shared, distinction or not between datasets and resources, etc). Not to mention that many local authorities use simple websites to make their data available.

The specification of a simplified data model should make it possible to harmonize these local catalogs in a format accessible to all local authorities and facilitate their consolidation in a national inventory, the ""catalog of open local data catalogs"".

[https://schema.data.gouv.fr/scdl/catalogue/0.1.2/](https://schema.data.gouv.fr/scdl/catalogue/0.1.2/)";Change;No;No, we studied the question and to date, the DCAT-AP specifications seem sufficient to us and we believe it to be a good practice.
Q20;"Do you investigate the most common causes for the lack of DCAT-AP compliance?

For Explanation:
* If yes, what are the main causes for the lack of DCAT-AP compliance?";new question;new question;Change;Yes;"To ensure the proper reporting of French data to data.europa, we have undertaken to promote the DCAT-AP standard, which was previously underutilized in France.

We have carried out joint work with the main platform publishers, notably Open Data Soft and Geonetwork, to ensure they offer DCAT-AP exposure. The data from these platforms are now harvested in this way."
Q21;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?;>90%;N/A;Confirm;;N/A
Q22;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?;>90%;N/A;Confirm;;N/A
;3.4 Deployment quality and linked data;;;;;
Q23;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

For Explanation:
* If yes, please briefly describe.";yes;"A discussion module is available for users for each dataset. They can express their opinion on the published dataset, whether it is positive or negative. This discussion module also makes it possible to report anomalies or areas for improvement to the producer. This evaluation mechanism thus provides more qualitative information than a simple five-star mechanism. Indeed, a five-star mechanism does not provide information on the improvement prospects.

[See example](https://www.data.gouv.fr/fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/)

However it is very usefull for both data producers et data reusers to be able to attest quickly a dataset’s quality. To this end we developed a metadata quality score for dataset : [https://www.data.gouv.fr/fr/posts/un-nouveau-score-de-qualite-des-metadonnees-sur-les-jeux-de-donnees/](https://www.data.gouv.fr/fr/posts/un-nouveau-score-de-qualite-des-metadonnees-sur-les-jeux-de-donnees/)";Complement;Yes;"We have implemented a metadata quality score, strongly inspired by the 5-Star model. Learn more: https://www.data.gouv.fr/fr/posts/un-nouveau-score-de-qualite-des-metadonnees-sur-les-jeux-de-donnees/

This score is integrated into our impact indicators : https://www.data.gouv.fr/fr/datasets/indicateurs-dimpact-de-data-gouv-fr/"
Q24;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data?

For Explanation:
* If yes, please briefly describe.";yes;"We developed a strategy on dataset quality inspired from the 5-star model :

**Licence** :

We developed our [own licence](https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf) and provide [guidelines](https://www.data.gouv.fr/fr/licences) and guides on how to choose a licence and why (see previous questions).

**Reusability** :

With our focus on data literacy and the organisation of events, we foster the reusability of data by insisting notably on [quality of documentation](https://guides.etalab.gouv.fr/qualite/documenter-les-donnees/) of data, [description of metadata](https://guides.etalab.gouv.fr/qualite/documenter-les-donnees/#description-des-metadonnees) and how [reuses are important](https://guides.etalab.gouv.fr/juridique/reutilisation/#qu-est-ce-qu-une-reutilisation) for example (see dimension 1 for more insight).

Reuses are highlighted in the same way as data [on the portal](https://www.data.gouv.fr/fr/reuses/covid-19-en-france-au-06-juillet-2020-surveillance-des-entrees-hospitalieres-et-des-tests-de-depistage/) and through our [communication](https://www.data.gouv.fr/fr/posts/).

**Machine readability and openness** :

A documentation is available to support producers on how to publish data sets in machine readable format: [here](https://guides.etalab.gouv.fr/data.gouv.fr/) and [here](https://doc.data.gouv.fr/a-propos/que-publier-et-comment-le-publier/).

On top of advocacy programs and [editorial content](https://www.data.gouv.fr/fr/posts/) we develop tools to help producers to provide high quality data. For instance,

- The Etalab team launched in 2019 [www.schema.data.gouv.fr](http://www.schema.data.gouv.fr/) a referencing, validation and support service for the creation of public data schemas for France. From schema.data.gouv.fr and the tools attached to it, it is possible to consult the referenced data schema, to validate that a data set conforms to a schema, to generate documentation and sample data sets automatically or suggest standardized entry forms. Any actor is also free to propose the referencing of diagrams on schema.data.gouv.fr.
- Etalab has also developed a tool, [CSV-GG](https://csv-gg.etalab.studio/), that helps you create a CSV file that conforms to an existing data schema. The tool guides you through several steps to obtain a complete, valid and structured file.

**Open identifier**

Discoverability of data.gouv.fr catalog is one of our top priorities. With this in mind a lot of effort are put in the  improvement of the search engine, for example:

- the tag system of the datasets makes it possible to optimize the search
- the ""highlight"" button for the platform administrator allows to bring up a data set in the ranking

**Linked-data**

We wrote a [quality guide](https://guides.etalab.gouv.fr/qualite/preparer-le-jeu-de-donnees/#la-structure-du-jeu-de-donnees) to help administration in the open data strategy. This guide underlines the necessity to include “linked data” (données pivot) that facilitates the crossover between datasets. Ex. Identification number of a company, geolocalisation etc.

We are also working on a tool enabling the enrichment of resources with additional third party data available on the portal

The platform data.gouv.fr allows users to link a specific resource to a common standard / schema shared by the community. This feature allow users to access easily to all the resources depending of this specific schema.";Complement;Yes;"Among the actions:

- Metadata quality score
- Production and promotion of data schemas
- Tooling
- Writing guides and training content dedicated to data quality
- Legal, technical, and organizational support for data producers

An example: we have completely redesigned the data publication process on the platform to assist data producers in correctly filling out metadata and making the right choices.

Beta version: https://demo.data.gouv.fr/fr/datasets/publishing-form/#/step-2"
Q25;What percentage of datasets are made available under an open licence? ;>90%;N/A;Confirm;;N/A
Q26;What percentage of licences are provided in a structured data format?;>90%;N/A;Confirm;;N/A
Q27;What percentage of datasets are provided in an open and machine-readable format?;>90%;N/A;Confirm;;N/A
Q28;What percentage of datasets consistely use Uniform Resource Identifiers?;>90%;N/A;Confirm;;N/A
Q29;What percentage of datasets link to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?;>90%;N/A;Confirm;;N/A
